phase,x,y,z
42,-8927.084324103187,-793.5522003069452,-133.9651470037797
42,-8442.708933532389,-155.69822115014745,-12.701786949463035
42,-8448.293396039315,-127.85086078467387,-10.870261627846332
42,-8428.642053151687,-128.24240583215072,-15.690570590954202
42,-8320.237630768197,379.1186310984473,-4.857453467966714
42,-8264.921006289645,348.73777318202514,52.15566498464229
42,-8430.374381804457,-118.97177240067677,-9.068727760910726
42,-8426.733846595313,-141.41614203446122,-19.66089858057113
42,-8431.012381504042,-112.4628011532771,2.055258640331715
42,-8816.423690693977,-571.9703868075653,-209.97708577217145
42,-8946.27681318833,-838.3879626349674,-142.29031627858157
42,-8216.74031795681,224.86687223528446,107.00646501925269
42,-7909.103322783883,1009.7678185417667,50.88417003181569
42,-8499.560355974163,-102.58426115448694,16.302838895874515
42,-7944.126933423013,941.1105171598452,28.704483997495736
42,-8390.942384566442,-133.43217312474613,-45.59105581629225
42,-7900.453666641813,999.0863489468616,30.95135902749376
42,-8109.018419726869,744.2494379672735,6.4754249874895535
42,-8245.528099892845,434.21463282670345,73.35597399022129
42,-8514.478616135748,-193.0709572158669,-30.340924821800996
42,-8196.24708030451,126.4924592277886,113.08197624718142
42,-8913.404003463373,-774.5777028057272,-156.48276451506905
42,-8863.890914988024,-604.5809300922889,-222.9088624851745
42,-7898.067164767928,969.8818485624595,16.753665347223084
42,-8420.779128306314,-138.07799898255485,30.184704715832126
42,-8225.326070379566,440.64124088264475,20.275256145326203
42,-8332.43538168199,-117.0485365638095,-44.05167765619911
42,-7796.477885430386,1008.2966844531147,-48.55220378615201
42,-8283.747452168775,382.7328259858484,-18.791526829787905
42,-8290.58252554073,356.4881913106421,-17.430365107813806
42,-7951.189730537633,977.9845087461746,58.5027912625527
42,-7908.289614382783,955.8869742276675,27.092594409251994
42,-7931.06640649377,938.1047778510808,38.69437169518988
42,-8836.323191455525,-537.823487599637,-225.21012831294382
42,-8463.162501503108,-217.24892755180306,-47.441610295245646
42,-8127.3960693209365,619.5424500703349,14.326449902403276
42,-8469.197915462726,-136.7405198546689,-12.922878957937428
42,-8436.12876086907,-177.6625719189721,-32.317214635522674
42,-8394.63270451667,-137.673325650211,-22.503470885765147
42,-8803.211623164527,-457.4190930620734,-183.4585871985266
42,-8092.438826321279,769.8631157642344,4.587228968281259
42,-7914.748066098474,926.881930345527,36.84905695001742
42,-8054.30922505557,789.3034821556761,19.24530690291487
42,-8107.929973949699,733.5758977412158,4.114815270555873
42,-8250.464254491564,328.7386538403179,153.84446278343427
42,-8494.674832034867,-83.30856837946962,21.75380353674027
42,-8483.888394490983,-98.30399167685087,-15.697636379534849
42,-8506.460170698256,-113.88908730059968,20.384186572625104
42,-8497.576941823354,-114.1208290242368,26.557630016106607
42,-8443.198108237137,-142.30749722097394,-13.4380094041475
42,-8478.067803524158,-162.2344855311229,-18.71725390136843
42,-8489.921143921738,-173.89034499975716,-9.567593390330636
42,-8471.51694204126,-231.216229952081,-62.014150605629645
42,-8813.066556293094,-469.3046845415179,-185.60631183890803
42,-8799.820692339013,-465.52741067242835,-173.27019929261365
42,-8775.904472810773,-481.64279684279245,-230.32613156467755
42,-8633.733530729289,-419.93688915949804,-181.42606915150878
42,-8617.705118354104,-412.60551634743047,-176.23318935868386
42,-8938.176790081281,-836.019392599625,-120.54056712419671
42,-8941.340313578165,-851.0635174510066,-122.1289847468912
42,-8280.05146721924,448.7207759029292,-2.0619602540663564
42,-8465.159627564819,-173.29755456709057,-23.473553484807255
42,-8248.245095501761,308.4728057835273,115.46904695600438
42,-8178.850272663578,443.29562347505134,-14.227099653840504
42,-8431.548480729314,-146.29715409193273,-10.164998315103631
42,-8473.73752770545,-165.46774921284978,-28.083929835229206
42,-8446.84660240816,-174.12453836615452,-30.155230192046098
42,-7914.251521745583,1002.6741108649419,50.660053079886715
42,-8027.613190600658,867.9133133836791,49.52085874218351
42,-8047.9519842386335,812.8306525558105,39.13372001880639
42,-8127.42932670014,623.3420971172477,14.286747690700757
42,-8138.617005157167,561.1392392835334,24.7627535848735
42,-8202.440632188816,741.8908496147324,70.57345024921071
42,-8192.662666738863,442.75096454015267,109.76637666616287
42,-8245.827132251805,435.26553732859435,73.48317216709532
42,-8263.608431325807,363.7060438535799,86.4891312865067
42,-8246.465711767649,308.72003874884115,114.08495886600741
42,-8305.648798690348,376.4196341352887,-11.690067842266679
42,-8422.365555867387,-42.212434300142064,8.325917644687493
42,-8487.549220722365,-157.42812962739646,9.227682364778602
42,-8451.820479861946,-166.56851292825272,-16.533256735706125
42,-8433.129663983344,-155.08007826480613,-22.927424195697817
42,-8465.434198288609,-218.69182655294355,-50.09027977490033
42,-8362.607928573761,-156.25759926068972,13.902897196695037
42,-8905.584602868108,-616.1857209755585,-203.57430091597868
42,-8771.94001141412,-526.0524773133911,-112.92505793806495
42,-8615.0595453225,-443.55350789875,-161.77249385507602
42,-8864.714398623877,-605.2852651312644,-207.22086846046483
42,-8948.182323790856,-814.3473017873815,-138.02078056680602
