phase,x,y,z
244,-8926.103668696289,-793.5411168807848,244.5852593489117
244,-8442.668733817867,-155.70982783770785,12.285855688584432
244,-8448.279536660048,-127.85284865833813,-3.4821366221732397
244,-8428.642053151687,-128.24240583215072,-15.690570590954202
244,-8320.51933137294,379.1051639240925,-117.68759644379142
244,-8265.224682618538,348.75487502134933,-63.78166155223773
244,-8430.341138402768,-118.95264754695297,-15.474435355379477
244,-8426.682982031098,-141.40316241062564,-10.758764756984064
244,-8431.05854299065,-112.46993167347684,-8.336024259051051
244,-8815.148662085401,-571.8174164377393,215.29732986582508
244,-8945.42742174662,-838.4557395338136,215.40943224485
244,-8217.083676713419,224.7876610401215,-40.249948921944316
244,-7909.07220108389,1009.827311523826,58.09859013219852
244,-8499.551982771614,-102.58867170264328,25.863860925894592
244,-7944.270988164154,941.1187971104894,-28.172181831387782
244,-8390.910676918376,-133.40305211381732,-56.10486687129879
244,-7900.453666641813,999.0863489468616,30.95135902749376
244,-8108.836342670516,744.1864249653456,78.03839194216818
244,-8245.699746229984,434.22748474816865,7.717020418590799
244,-8514.243420131215,-193.06048582677485,53.148315878448045
244,-8196.617542250813,126.45338415065413,-40.70145207182029
244,-8912.238901147184,-774.4158792470096,233.9634821490622
244,-8862.906692723558,-604.676163809426,206.93176099824703
244,-7898.141131763522,969.8504878369566,-9.31315500531975
244,-8420.83235514683,-138.10731876193975,34.213544782173
244,-8225.466703557198,440.6430067727614,-34.50704917862013
244,-8332.580866142867,-117.06992712184622,-85.83659361950694
244,-7796.334489902447,1008.3734423548005,-2.2289610664810837
244,-8284.056301137389,382.8344455658204,-122.69546844832817
244,-8290.921782588588,356.57417587377984,-134.1274012996667
244,-7951.277713553693,978.0149033428379,22.097317800922035
244,-7908.388818206786,955.9132066613947,-13.950427652840865
244,-7931.210907393218,938.1093660029753,-18.13727978597769
244,-8835.233987985579,-537.8195365083589,197.95507740152559
244,-8462.962354604912,-217.25268435337975,32.966793943145504
244,-8127.207029680623,619.5311995013591,88.11969704451604
244,-8469.118996876674,-136.73122937500574,8.660314594380996
244,-8436.020977144728,-177.65784076019918,6.482191943995822
244,-8394.724760820123,-137.71200929273255,-28.5186494842486
244,-8802.26912151818,-457.46114717576916,208.88560289128105
244,-8092.298386387087,769.8441681609952,59.7526934398665
244,-7914.9096718184,926.8233620478713,-21.193357373541126
244,-8054.226372574811,789.3202234287467,51.06168785230073
244,-8107.739150547406,733.5958445534009,78.51069191189805
244,-8250.782748547292,328.76127700932506,32.843908771235725
244,-8494.741786646598,-83.32010687763854,15.753768760948972
244,-8483.912809153022,-98.31159402176567,-14.378971837008024
244,-8506.366801529402,-113.87688256573213,40.69227068576765
244,-8497.509567753656,-114.11426180057524,44.395264736875006
244,-8443.18503521315,-142.319898709136,2.5969763145873443
244,-8477.919185235656,-162.21880235984904,25.807396195365527
244,-8489.732409815899,-173.87268910915955,49.47775729583862
244,-8471.240075862464,-231.19228334363328,31.930749733812068
244,-8811.997621179922,-469.2734771042567,213.77974276761142
244,-8799.044011468584,-465.68857826727844,221.43972508395584
244,-8775.044809333272,-481.75402491672605,164.15815128157158
244,-8632.84568261912,-419.8612323831467,129.2436802164079
244,-8616.831219459309,-412.51598950647815,122.98391944027424
244,-8937.313717893516,-836.0851336289443,241.51250553210275
244,-8940.48396293722,-851.1195145058285,233.29944689114728
244,-8280.190166199878,448.6369865118236,-67.80873832078493
244,-8465.072524590152,-173.31466115408543,23.690620641988257
244,-8248.618563036485,308.5796795896441,-13.341842992427267
244,-8178.960140972183,443.36174105014413,-53.85329239352772
244,-8431.539482926719,-146.3103490227916,4.248834015058048
244,-8473.56777232425,-165.44137391975127,16.273928519970173
244,-8446.77835367,-174.14317529470813,10.049904074212577
244,-7914.251521745583,1002.6741108649419,50.660053079886715
244,-8027.712459648704,867.8606619276853,12.941692980289865
244,-8047.926341735691,812.7924310004427,50.53873379752027
244,-8127.236044617082,623.2890829887333,89.62901453692766
244,-8138.498269496326,561.1216053527808,70.94410807659511
244,-8202.237650714878,741.9863050063615,153.952460742745
244,-8192.786089715106,442.80519373081466,64.95290004500671
244,-8246.001050232902,435.2849348992047,7.685160162802582
244,-8263.870146722373,363.66581036730884,-21.92905364296454
244,-8246.830769286416,308.81300984960734,-13.88665193903109
244,-8305.892544922388,376.3316093981523,-123.71942927266639
244,-8422.517082857921,-42.21240073715105,-50.690052138348825
244,-8487.444681659888,-157.43230173710475,53.758730087497334
244,-8451.694938929324,-166.55283161204673,20.35423361462859
244,-8433.070297500662,-155.0763370500673,-2.70721110851251
244,-8465.189165492735,-218.66905374639975,31.62450904967314
244,-8362.606138589621,-156.24645539826884,7.886673930903001
244,-8904.645637664873,-616.3045103755369,221.94312279855964
244,-8770.87601669729,-526.0382950031326,295.66982785847506
244,-8614.157768674746,-443.4736356929308,155.69573132380862
244,-8863.764251828723,-605.4052113025112,221.06495452434885
244,-8947.33164160071,-814.4314749412233,227.43477375400525
