phase,x,y,z
151,-8926.618240781163,-793.4589270366266,11.024173124158871
151,-8442.245636408521,-155.688039442415,159.8690377484731
151,-8447.995086836281,-127.89266529613852,147.1352436422392
151,-8428.272875507426,-128.251352241875,136.66669581273564
151,-8320.55752884978,379.2262229221849,-107.88878024908962
151,-8265.21230220968,348.8060147568375,-50.75006120198751
151,-8429.932664406035,-118.94676530923553,137.94447329284756
151,-8426.32913359776,-141.41808166006808,139.86176121664658
151,-8430.721242743197,-112.4910534395772,145.8722654233967
151,-8815.708421710762,-571.9613842875074,64.98017124899584
151,-8945.95893688382,-838.3772060842396,-22.247990605745862
151,-8216.919097640583,224.76932363526336,21.043349551245733
151,-7909.1909974478185,1009.7232187458715,20.25676270843814
151,-8499.138395390459,-102.58137888363581,176.67251651102828
151,-7944.253454957068,941.0755131109734,-18.119940883057787
151,-8390.583658571562,-133.43673962804135,97.9831413442046
151,-7900.55571496499,999.0381097971647,-4.774184813773395
151,-8108.857059464118,744.1466755094689,70.2013949990679
151,-8245.787935275905,434.2597316883323,-23.15597683233114
151,-8513.965377554632,-193.08704023952362,182.71250064394027
151,-8196.352926484702,126.4357765363726,58.667207606849196
151,-8912.944265934988,-774.5237262982358,1.5679161139192743
151,-8863.415427735099,-604.7166334133354,27.70670287492407
151,-7898.180654958072,969.9108057044837,-30.197464715849726
151,-8420.515916049095,-138.1405674222218,185.7652372940214
151,-8225.563396103486,440.6389170544001,-72.662775828789
151,-8332.164103972733,-117.06251286330713,71.62353592596824
151,-7796.449880158832,1008.339285529895,-42.98554180417802
151,-8283.98259357258,382.6603507747491,-122.63021357409067
151,-8290.812647737705,356.41597129056663,-120.69894837982264
151,-7951.325656886506,977.9434209321273,8.235574500029138
151,-7908.418510351688,955.8779972141101,-22.509791257121442
151,-7931.189748280216,938.1086208052258,-9.772319735389495
151,-8835.70749277222,-537.9012677338843,55.40032695734077
151,-8462.693218896227,-217.2939319027407,163.29764588918687
151,-8127.370484509029,619.4679198358988,24.05843632806903
151,-8468.771334022527,-136.74381834829092,156.75049688692698
151,-8435.674969792395,-177.6702587381428,150.08102341307435
151,-8394.28642419238,-137.6891573342321,124.86274240625133
151,-8802.424605057771,-457.41565901586637,121.7863174804439
151,-8092.275643846575,769.808902317355,69.19327643984101
151,-7914.872175867393,926.8583911021287,-9.575316271189429
151,-8054.159526685006,789.2716093404881,78.80086094058282
151,-8107.7721142254895,733.593592067263,65.64167840763196
151,-8250.73489234189,328.7603251131907,51.4019279959735
151,-8494.347540466479,-83.31992697972936,169.13618590749394
151,-8483.505011330872,-98.3068109742896,137.79098439130954
151,-8505.879030143578,-113.8453803779608,189.45918444892845
151,-8497.149361343292,-114.12082487708545,193.27020014863632
151,-8442.723731168053,-142.28544548239807,152.23114291099878
151,-8477.70359964411,-162.28659746856658,168.02737938506098
151,-8489.532624495587,-173.944787604811,187.0164024673753
151,-8470.97247249798,-231.2285975798547,157.81536194977832
151,-8812.31417733278,-469.31875040909574,116.22282165026539
151,-8799.053305612013,-465.53785521923373,132.19973473254788
151,-8775.253601825021,-481.7395020101227,74.9685872368405
151,-8632.839803163784,-419.8539540682953,128.0574042094836
151,-8616.81119042755,-412.5164580177345,131.06631172460933
151,-8937.876379261363,-836.0398634550827,4.536240760412873
151,-8941.083453868481,-851.1112371949041,-3.909837575345186
151,-8280.32700908358,448.80377454858433,-98.3119461340246
151,-8464.64017928988,-173.27961145187902,165.36735941650252
151,-8248.55485782938,308.60308020016987,15.302287004791815
151,-8179.068613560211,443.2769976341287,-100.47343521347261
151,-8431.102471784714,-146.28475777420863,153.67428522967495
151,-8473.330163663446,-165.50114583227406,158.58309602354637
151,-8446.387674364549,-174.1308417325945,153.56959955200958
151,-7914.355790728986,1002.6123115370475,14.908892961369581
151,-8027.578314423436,867.8743434226551,64.7830449544389
151,-8047.829696795631,812.7686276229355,89.14379452962507
151,-8127.397841759237,623.2525318532976,26.25404460180004
151,-8138.682205655606,561.1388641994814,-0.7227732034243743
151,-8202.301857194287,741.8849169698567,124.55771535036013
151,-8192.8908147905,442.75641417393246,20.982159913512497
151,-8246.088124885931,435.3125985714206,-23.26254851960372
151,-8263.857732357352,363.66552845918795,-17.10844270841347
151,-8246.741351725586,308.7655749202184,13.56263081741701
151,-8305.930419436847,376.45603827769924,-114.82010831763819
151,-8422.09226538844,-42.20981780951324,107.39109413656291
151,-8487.215318112312,-157.4901713676115,195.68685607879408
151,-8451.231908824873,-166.50604133401623,164.88247727135953
151,-8432.836260380562,-155.14885758499523,145.4110065902981
151,-8464.912606682767,-218.70539457551402,161.83502283964376
151,-8362.300305829263,-156.30315548744443,161.38725274986038
151,-8905.053714135971,-616.2347565720819,28.021035059699628
151,-8771.137685354013,-526.0205302490444,184.93512236245797
151,-8614.167228517095,-443.4655021659635,148.48570871316363
151,-8864.076677072544,-605.2874289908754,42.75937572655351
151,-8947.89599993495,-814.3897847733462,-9.484838001826866
