phase,d,l,b,x,y,z
152,1130.1,3.920009454873675,-0.006981348931987746,-793.4837916067737,5.539677221248751,-804.6606703658521
152,382.2,3.593632995049344,0.36826450051732984,-155.75254744789657,-60.099911278676274,-343.81097223297854
152,372.2,3.5150931460686152,0.34382985044435166,-127.85843244527295,-45.77994490381703,-346.538970243234
152,351.6,3.537782457491202,0.33335786195503403,-128.21500224502208,-44.39842164635867,-324.3643836098858
152,447.2,2.0525072459480547,-0.29496067624633426,379.1950089351974,-115.20826593484668,-207.1860049784281
152,383.9,1.9600047795282975,-0.19198622408201527,348.66220206751166,-67.77306892475214,-145.6732301349648
152,350.2,3.509857164733255,0.3385938554550545,-118.91292542584766,-41.87584884910183,-326.72032298256863
152,356.0,3.5761796802000663,0.33859386581681244,-141.37847826204992,-49.787220025224045,-322.9076626629771
152,351.4,3.4906585546490185,0.35953788414556387,-112.501150700678,-42.286409996023586,-330.20798085550797
152,900.4,3.8309977735057497,0.050614510763081724,-571.991420052291,-28.975813804065805,-694.7707374385852
152,1176.2,3.935717536300302,-0.034906628025644384,-838.4141866739584,29.27810463527085,-824.409415383407
152,244.1,1.970476757498351,-0.005235994286269142,224.8582721078771,-1.1773673874221706,-94.9851634240576
152,1031.9,1.3631021220839679,-9.606732214113717e-08,1009.7234166785621,-9.70014247435094e-05,212.78212286506022
152,420.7,3.4068826979658926,0.3769910815677501,-102.5571248275798,-40.605233847799525,-405.98243943705955
152,958.5,1.3840461122199847,-0.04014256851772829,941.0756220188892,-37.79749743961023,177.9614363536751
152,309.6,3.602359585670928,0.24958201109454634,-133.39379146407762,-34.00164086485357,-277.3123596548407
152,1023.6,1.352630170468179,-0.024434677233934467,999.0382790880608,-24.41603731373789,221.5475886545831
152,746.0,1.5533430371035568,0.06632252395280994,744.246525153335,49.43280891071626,13.019493092396681
152,453.8,1.8483036988522645,-0.09948368208115649,434.2802691963352,-43.346896129942735,-124.3227026035814
152,466.1,3.5988688938016904,0.3525564723836449,-193.12860392208242,-71.05748255663323,-418.2121310050931
152,151.1,2.1031217508152213,0.2408553631937643,126.4340776409465,31.055178196913424,-76.68904692484492
152,1107.1,3.916518924341639,-0.01570793730121808,-774.5017899922054,12.16682625138044,-790.9926394334135
152,956.8,3.8257617718931685,0.008726660994717144,-604.7026488128091,-5.2771689797292405,-741.4668556357269
152,996.7,1.3439035040836036,-0.05061448633309681,969.9109399314578,-49.13350835113149,224.20873524103698
152,367.9,3.5744342888921277,0.46251219320481063,-138.10306612732947,-68.85563868682384,-333.9713373139378
152,462.2,1.8011798120274578,-0.2042034543439703,440.63868324520416,-91.25185317742364,-105.54378295105083
152,245.8,3.6494835058276927,0.20245823517583847,-117.09964397761651,-24.037109963404674,-214.77320765151939
152,1061.4,1.2583824278984357,-0.05934111568149921,1008.2445040714184,-59.9006810435588,326.2282765492559
152,439.9,1.9704767293666328,-0.3351031815088364,382.6891304842975,-133.26644007624236,-171.17562723290266
152,419.3,2.012364704619377,-0.3473204646215627,356.44612230584687,-129.03167217870214,-179.19118133405232
152,992.8,1.3980088050786876,-0.012217311932984197,977.9435618840814,-11.948436039625141,170.691138158027
152,980.5,1.350884884973969,-0.04537857962549005,955.9013458879181,-43.40724438622855,213.88940615294842
152,957.8,1.3700834756827316,-0.03141598826423592,938.1087541556042,-29.481313250775493,190.9545955080154
152,894.5,3.7873645052609013,0.04188780175288635,-537.8513595599069,-22.54259698713137,-714.3794484310391
152,428.6,3.708824774530165,0.3385939163538233,-217.2115861012624,-76.49228444524593,-361.47754741300525
152,619.5,1.5795229444394352,0.006981361609517732,619.4613150968887,4.32475370600832,-5.406071014656861
152,396.8,3.5168384927252134,0.34732055481038915,-136.7439428787852,-49.50062149038736,-369.1896837101884
152,383.0,3.656464775380162,0.3420844945152693,-177.67036213830275,-63.26556238069917,-333.3462329685131
152,322.2,3.609340938702824,0.3246312566139408,-137.684928922975,-46.336100310212025,-287.59114408395345
152,826.5,3.7332592589230393,0.12391842761586915,-457.4415269787113,-56.97737771109367,-686.005158744854
152,772.0,1.5323991262623624,0.06283184906623196,769.9087301296145,48.43854847565917,29.635355435284765
152,950.2,1.3508848757938028,-0.031415922808790124,926.8585399814295,-29.12769960409502,207.27967575058213
152,794.3,1.4852752305841235,0.07330380604876757,789.2717577307632,57.960476926697446,67.84663265793834
152,735.2,1.5515976405768004,0.0628318665191895,733.6140281193384,46.15509237598342,14.114007024335914
152,354.3,1.9442967849770856,0.082030530884943,328.7638387178609,27.02932629140204,-129.27584411532288
152,409.3,3.361504118149094,0.3682645563551519,-83.29970548621021,-32.14268930817725,-399.4427325536774
152,392.4,3.4068826833489934,0.3001966060985759,-98.28193070530409,-30.423336944045815,-378.6724741330255
152,434.4,3.429571880538455,0.3944443874153878,-113.90219188509563,-47.41290322297713,-416.51130511876795
152,428.3,3.4365533689079433,0.4101524029564134,-114.18111156543806,-49.647364197125235,-409.80324912079334
152,374.6,3.5587263641719753,0.3543018602605186,-142.33969312571816,-52.65305486798727,-342.47952869324195
152,417.8,3.5691982615702504,0.35779248391179524,-162.28671380434784,-60.676513617525565,-380.1818291525884
152,439.3,3.583160967028101,0.3874630043066759,-173.82138932489121,-70.9351768570877,-397.16346168475553
152,440.7,3.726277954363578,0.3159045362844092,-231.2021486911701,-75.56849560821418,-367.49348145524624
152,840.5,3.738495339602852,0.11693703433795825,-469.20473958202575,-55.118876876202194,-695.1611840182602
152,829.7,3.7437312315660174,0.13613569086848037,-465.59921775929195,-63.77916368981031,-683.7775052610051
152,813.7,3.7768925768964365,0.06806780751655213,-481.74681793010365,-32.842187111528155,-654.9420464132311
152,670.3,3.829252412130585,0.16231555164762995,-419.86751963074033,-68.75591348865471,-517.9633001665952
152,654.0,3.8362335819500393,0.17104223746859687,-412.52297223569025,-71.25507758918373,-502.45747212633955
152,1168.3,3.9392080420982807,-0.01396265252977671,-836.0622516354899,11.674405386534124,-815.9586445703394
152,1181.4,3.9461894751697564,-0.020943962939585503,-851.0724177630063,17.827435918543408,-819.1848889302105
152,490.7,1.9093902020624773,-0.24783670259400808,448.69746936041224,-113.53789007164997,-162.99146759152725
152,410.4,3.609340878260578,0.3577924739514461,-173.32195193212954,-64.80241795996655,-366.3172226431326
152,333.6,1.9600047510236718,-0.0209438880825834,308.582270292308,-6.4638576769810365,-126.5865751380324
152,463.2,1.6982053804939798,-0.265290083337829,443.3724859147566,-120.4616559356707,-58.85633511360505
152,366.8,3.5831608863717253,0.3682645177697348,-146.24498113800956,-56.43124935580169,-331.61748987061367
152,412.1,3.5814155759688675,0.3385938301732972,-165.50127193307245,-58.28218979332969,-372.8792369406341
152,391.4,3.633775425794897,0.3438298442811709,-174.13095002217705,-62.34790299550635,-344.9421853534835
152,1023.9,1.36659282864383,-0.005236043340188524,1002.6124968035944,-5.249770462930519,207.6338873193608
152,874.1,1.4625858919941677,0.050614482639292836,867.8744960821342,43.96456821769624,94.4022552252498
152,819.0,1.4800392196927616,0.083775797876525,812.7687970924842,68.25009769478592,74.22807176189076
152,623.4,1.5795229006272786,0.00872661044444028,623.3525271690785,5.439892764237656,-5.440077080046139
