phase,name,x,y,z,vz
0,CWNU_152,325.3835475,1008.357246,-48.61946315,-0.4761206969999998
0,CWNU_523,-161.5380881,382.7860735,-37.30001283,0.6859810079999997
0,CWNU_525,-168.3166873,356.5855565,-42.61285683,-0.9405656149999997
0,Dolidze_8,171.1565481,977.8948905,46.69638823,1.2397037810000002
0,FSR_0213,213.6268465,955.9359134,13.40542761,3.9245011759999997
0,FSR_0227,190.4190208,938.2276365,16.34885839,4.074138376
0,FSR_1117,-713.4217928,-538.4267074,-186.3551873,-10.383636979999999
0,L_1641S,-341.0625711,-217.1227044,-138.9334148,0.46395402200000024
0,LDN_988e,-5.844572178,619.464958,24.30318199,-2.1949434820000002
0,LP_2371,-347.0886314,-136.9046029,-111.4250498,-0.6923364600000008
0,NGC_1980,-314.0100137,-177.7475019,-128.8158769,1.1478596429999994
0,NGC_1981,-272.4518432,-137.7822466,-122.927737,0.3360613169999995
0,NGC_2183,-680.6802622,-457.4407711,-172.046951,-10.15532422
0,NGC_7039,28.98205544,769.9163107,-22.77839324,2.246424607
0,OC-0115,207.258104,926.7830112,12.79671453,4.230561272999999
0,OC-0136,67.52515652,789.3358617,-16.72958234,2.44455372
0,OC-0140,14.51672859,733.6320655,-12.02591327,-0.9703057690000003
0,OC-0204,-128.5845169,328.8605457,126.2307142,-2.4402543099999994
0,OC-0320,-372.7273045,-83.49543074,-78.78024433,2.261322465
0,OC-0322,-361.7655412,-98.37500237,-115.5673564,3.647677559
0,OC-0324,-384.4673547,-113.7856676,-78.17394382,4.525031358
0,OC-0325,-375.7436132,-113.993333,-72.21228998,4.11808126
0,OC-0339,-321.2455353,-142.2398334,-112.1391383,2.745912013
0,OC-0340,-356.0348869,-162.2213026,-114.5732752,-1.1354771139999995
0,OC-0341,-367.962562,-173.5617825,-103.6998656,-0.7319883720000009
0,OC-0356,-349.2832404,-231.1542935,-151.2894168,1.912882186
0,OC-0358,-690.71429,-469.0304548,-169.4597971,-14.63008919
0,OC-0359,-677.0937147,-466.051356,-159.8784015,-10.75746428
0,OC-0362,-653.240993,-481.9753016,-217.2738994,-6.516709810000001
0,OC-0366,-510.9257275,-420.202367,-211.9436527,-3.76347817
0,OC-0367,-494.9232674,-412.7791451,-211.2958244,-6.46961489
0,OC-0377,-815.7915365,-836.0540433,-30.74589372,-7.21102923
0,OC-0379,-818.8830661,-851.1891364,-32.10840686,-6.19562695
0,RSG_8,-158.2844217,448.6426938,-5.585559692,-0.5882822079999999
0,Sigma_Ori,-342.9516016,-173.4797544,-119.349217,0.4965641119999997
0,Theia_10,-126.5096421,308.6096175,82.90046163,1.2744812749999994
0,Theia_619,-56.67914233,443.2883814,-9.997308346,0.5233204999999996
0,UBC_17a,-309.4380104,-146.5193572,-109.3522776,3.6128508310000003
0,UBC_17b,-351.5589383,-165.5309088,-124.0734282,-0.12674493899999995
0,UBC_207,-324.8082591,-174.141936,-126.4641481,-0.7382000819999996
0,UPK_111,207.8292307,1002.605388,49.03844266,0.27424495400000026
0,UPK_126,94.8211975,867.8065947,4.301280853,6.5220790179999995
0,UPK_127,74.01333378,812.8096621,-1.510984167,3.5633175659999994
0,UPK_139,-5.856376836,623.3191597,24.47212061,-2.1949434820000002
0,UPK_144,-17.01714632,561.1107391,40.03665887,-3.5331643999999995
0,UPK_152,-81.16039043,741.8350336,63.44214605,-6.2488334
0,UPK_160,-71.15535977,442.6680826,112.6150131,-4.9794866
0,UPK_187,-124.0839656,435.3073401,69.93086638,-2.4711421200000006
0,UPK_205,-141.9596764,363.5614893,65.91959641,-2.40578076
0,UPK_209,-124.8643722,308.694052,82.16566196,-0.22271406100000046
0,UPK_225,-183.2788879,376.5683905,-33.90674993,-0.0075699900000003595
0,UPK_385,-300.4253749,-42.04616697,-92.96603774,3.1562818889999997
0,UPK_402,-365.5722058,-157.4251513,-86.88881785,0.9569470720000002
0,UPK_408,-329.769277,-166.4195493,-113.4260623,3.510119766
0,UPK_411,-311.0673073,-155.0221414,-121.4427211,1.7185181480000002
0,UPK_419,-343.1970352,-218.8206917,-141.1604781,0.27857260299999975
0,UPK_422,-240.6858987,-156.1393998,-86.10727737,4.123036059
0,UPK_432,-783.0292632,-616.2696343,-137.7243772,-9.714784339999998
0,UPK_436,-649.8195971,-525.9197759,-89.16921389,-7.92149937
0,UPK_445,-492.6716152,-443.3359439,-189.4991262,-4.70032279
