phase,x,y,z,l,b,d
1,-74.6,126.4,46.6,120.5,17.6,154.0
1,-791.0,-774.4,-75.1,224.4,-3.9,1109.5
1,-741.0,-605.3,-167.6,219.2,-9.9,971.4
1,223.8,969.9,8.9,77.0,0.5,995.4
1,-298.9,-138.0,-68.2,204.8,-11.7,336.2
1,-103.2,440.7,20.2,103.2,2.6,453.1
1,-210.4,-117.0,-143.6,209.1,-30.8,280.3
1,325.4,1008.4,-49.1,72.1,-2.7,1060.7
1,-161.5,382.8,-37.0,112.9,-5.1,417.1
1,-168.3,356.6,-42.1,115.3,-6.1,396.6
1,171.2,977.9,46.7,80.1,2.7,993.9
1,213.6,955.9,13.4,77.4,0.8,979.6
1,190.4,938.2,16.6,78.5,1.0,957.5
1,-713.4,-538.4,-189.0,217.0,-11.9,913.5
1,-341.1,-217.1,-138.0,212.5,-18.8,427.2
1,-5.8,619.5,23.5,90.5,2.2,620.0
1,-347.1,-136.9,-110.2,201.5,-16.5,389.1
1,-314.0,-177.7,-127.6,209.5,-19.5,382.7
1,-272.5,-137.8,-121.5,206.8,-21.7,328.6
1,-680.7,-457.4,-174.1,213.9,-12.0,838.4
1,29.0,769.9,-22.9,87.8,-1.7,770.8
1,207.3,926.8,13.1,77.4,0.8,949.8
1,67.5,789.3,-16.6,85.1,-1.2,792.4
1,14.5,733.6,-12.4,88.9,-1.0,733.8
1,-128.6,328.9,126.8,111.4,19.8,375.2
1,-372.7,-83.5,-77.4,192.6,-11.5,389.7
1,-361.8,-98.4,-114.2,195.2,-16.9,391.9
1,-384.5,-113.8,-76.9,196.5,-10.9,408.3
1,-375.7,-114.0,-70.9,196.9,-10.2,399.0
1,-321.2,-142.2,-110.8,203.9,-17.5,368.3
1,-356.0,-162.2,-113.4,204.5,-16.2,407.3
1,-368.0,-173.6,-102.6,205.3,-14.2,419.6
1,-349.3,-231.2,-150.5,213.5,-19.8,445.1
1,-690.7,-469.0,-171.6,214.2,-11.6,852.3
1,-677.1,-466.1,-162.0,214.5,-11.1,837.8
1,-653.2,-482.0,-219.3,216.4,-15.1,840.9
1,-510.9,-420.2,-212.9,219.4,-17.8,694.9
1,-494.9,-412.8,-212.2,219.8,-18.2,678.5
1,-815.8,-836.1,-34.0,225.7,-1.7,1168.7
1,-818.9,-851.2,-35.4,226.1,-1.7,1181.7
1,-158.3,448.6,-5.7,109.4,-0.7,475.7
1,-343.0,-173.5,-118.2,206.8,-17.1,402.1
1,-126.5,308.6,83.6,112.3,14.1,343.8
1,-56.7,443.3,-10.3,97.3,-1.3,447.0
1,-309.4,-146.5,-108.1,205.3,-17.5,359.0
1,-351.6,-165.5,-122.9,205.2,-17.6,407.6
1,-324.8,-174.1,-125.3,208.2,-18.8,389.2
1,207.8,1002.6,48.7,78.3,2.7,1025.1
1,94.8,867.8,4.9,83.8,0.3,873.0
1,74.0,812.8,-1.2,84.8,-0.1,816.2
1,-5.9,623.3,23.7,90.5,2.2,623.8
1,-17.0,561.1,39.2,91.7,4.0,562.7
1,-81.2,741.8,62.9,96.2,4.8,748.9
1,-71.2,442.7,112.4,99.1,14.1,462.3
1,-124.1,435.3,69.9,105.9,8.8,458.0
1,-142.0,363.6,66.3,111.3,9.6,395.9
1,-124.9,308.7,82.8,112.0,14.0,343.1
1,-183.3,376.6,-33.5,116.0,-4.6,420.2
1,-300.4,-42.0,-91.4,188.0,-16.8,316.8
1,-365.6,-157.4,-85.8,203.3,-12.2,407.2
1,-329.8,-166.4,-112.2,206.8,-16.9,386.1
1,-311.1,-155.0,-120.2,206.5,-19.1,367.8
1,-343.2,-218.8,-140.2,212.5,-19.0,430.5
1,-240.7,-156.1,-84.7,213.0,-16.4,299.1
1,-783.0,-616.3,-140.8,218.2,-8.0,1006.3
1,-649.8,-525.9,-91.5,219.0,-6.2,840.9
1,-492.7,-443.3,-190.6,222.0,-16.0,689.6
1,-741.8,-605.8,-152.4,219.2,-9.0,969.8
1,-826.0,-814.2,-52.3,224.6,-2.6,1161.0
2,-804.4,-793.7,-54.4,224.6,-2.8,1131.4
2,-320.8,-155.5,-108.1,205.9,-16.9,372.5
2,-326.3,-127.7,-107.6,201.4,-17.1,366.5
2,-306.6,-128.3,-112.7,202.7,-18.7,350.9
2,-198.3,379.1,-26.8,117.6,-3.6,428.7
2,-143.1,348.7,28.5,112.3,4.3,378.0
2,-308.2,-119.1,-106.8,201.1,-17.9,347.2
2,-304.6,-141.5,-116.2,204.9,-19.1,355.4
2,-309.1,-112.3,-95.7,200.0,-16.2,342.5
2,-694.1,-571.6,-172.9,219.5,-10.9,915.6
2,-824.3,-838.0,-58.8,225.5,-2.9,1176.9
2,-95.0,224.8,60.5,112.9,13.9,251.4
2,212.6,1009.8,49.4,78.1,2.7,1033.1
2,-377.6,-102.4,-80.7,195.2,-11.7,399.5
2,177.7,941.1,5.9,79.3,0.4,957.7
2,-268.8,-133.4,-143.2,206.4,-25.5,332.5
2,221.3,999.1,27.9,77.5,1.6,1023.7
2,13.3,744.2,-12.7,89.0,-1.0,744.4
2,-123.9,434.2,69.5,105.9,8.8,456.8
2,-392.2,-193.4,-119.6,206.2,-15.3,453.4
2,-74.6,126.4,48.0,120.5,18.1,154.4
2,-791.0,-774.4,-78.4,224.4,-4.1,1109.7
2,-741.0,-605.3,-170.5,219.2,-10.1,971.9
2,223.8,969.9,8.7,77.0,0.5,995.4
2,-298.9,-138.0,-66.8,204.8,-11.5,335.9
2,-103.2,440.7,20.0,103.2,2.5,453.1
2,-210.4,-117.0,-142.0,209.1,-30.5,279.5
2,325.4,1008.4,-49.6,72.1,-2.7,1060.8
2,-161.5,382.8,-36.6,112.9,-5.0,417.1
2,-168.3,356.6,-41.6,115.3,-6.0,396.5
2,171.2,977.9,46.7,80.1,2.7,993.9
2,213.6,955.9,13.5,77.4,0.8,979.6
2,190.4,938.2,16.9,78.5,1.0,957.5
2,-713.4,-538.4,-191.5,217.0,-12.1,914.0
2,-341.1,-217.1,-137.0,212.5,-18.7,426.9
2,-5.8,619.5,22.7,90.5,2.1,619.9
2,-347.1,-136.9,-108.9,201.5,-16.3,388.7
2,-314.0,-177.7,-126.4,209.5,-19.3,382.3
2,-272.5,-137.8,-120.1,206.8,-21.5,328.1
2,-680.7,-457.4,-176.1,213.9,-12.1,838.8
2,29.0,769.9,-23.0,87.8,-1.7,770.8
2,207.3,926.8,13.4,77.4,0.8,949.8
2,67.5,789.3,-16.4,85.1,-1.2,792.4
2,14.5,733.6,-12.7,88.9,-1.0,733.9
2,-128.6,328.9,127.3,111.4,19.8,375.4
2,-372.7,-83.5,-76.0,192.6,-11.3,389.4
2,-361.8,-98.4,-112.8,195.2,-16.7,391.5
2,-384.5,-113.8,-75.6,196.5,-10.7,408.1
2,-375.7,-114.0,-69.6,196.9,-10.1,398.7
2,-321.2,-142.2,-109.5,203.9,-17.3,367.9
2,-356.0,-162.2,-112.3,204.5,-16.0,407.0
2,-368.0,-173.6,-101.5,205.3,-14.0,419.4
2,-349.3,-231.2,-149.6,213.5,-19.7,444.8
2,-690.7,-469.0,-173.7,214.2,-11.8,852.8
2,-677.1,-466.1,-164.0,214.5,-11.3,838.2
2,-653.2,-482.0,-221.3,216.4,-15.2,841.4
2,-510.9,-420.2,-213.9,219.4,-17.9,695.2
2,-494.9,-412.8,-213.0,219.8,-18.3,678.7
2,-815.8,-836.1,-37.3,225.7,-1.8,1168.8
2,-818.9,-851.2,-38.6,226.1,-1.9,1181.8
2,-158.3,448.6,-5.7,109.4,-0.7,475.7
2,-343.0,-173.5,-117.1,206.8,-16.9,401.8
2,-126.5,308.6,84.2,112.3,14.2,344.0
2,-56.7,443.3,-10.6,97.3,-1.4,447.0
2,-309.4,-146.5,-106.7,205.3,-17.3,358.6
2,-351.6,-165.5,-121.8,205.2,-17.4,407.2
2,-324.8,-174.1,-124.1,208.2,-18.6,388.9
2,207.8,1002.6,48.4,78.3,2.7,1025.1
2,94.8,867.8,5.5,83.8,0.4,873.0
