phase,xc,yc,zc
0,-8926.758916264396,-793.5078471627983,-24.507005788740948
0,-8443.042172934096,-155.76542141562476,-88.76662258033753
0,-8448.404185616319,-127.81595804907889,-88.81428261161395
0,-8428.852123917159,-128.24617349354648,-94.14327730905842
0,-8320.244192536064,379.12381054630725,-6.357055621882957
0,-8264.913121228714,348.69788749258515,48.84317507570568
0,-8430.411742111135,-118.90784394175036,-88.28850932382144
0,-8426.919588999837,-141.4099620518041,-97.3554644746927
0,-8431.21511949767,-112.46278937838765,-77.05984352408277
0,-8816.087090250916,-571.8287653955064,-145.66669649678624
0,-8946.007729651938,-838.4108942652961,-28.414836173318612
0,-8216.794349394433,224.8289801259778,79.63800495273836
0,-7909.048125592923,1009.7882215710804,70.72824372858474
0,-8499.756513842492,-102.58341303487833,-61.39815489862543
0,-7944.149754880539,941.0352028255263,25.360737666127925
0,-8391.076300433524,-133.39784891245094,-124.84018899541161
0,-7900.41715268289,999.0443101063497,48.81786448889641
0,-8109.012672196949,744.1948085706695,9.075354613571356
0,-8245.492137668678,434.2469367593275,91.0162444938066
0,-8514.736238417005,-193.1105241174134,-99.49489441331366
0,-8196.36901363892,126.49561378415262,66.15534504281845
0,-8913.067259867827,-774.5179379402755,-48.76223894673145
0,-8863.809078674683,-604.6820605061322,-142.55908693413448
0,-7898.0432073452575,969.8508110846461,28.914692140926142
0,-8421.052437936403,-138.11188303665688,-47.8226388802049
0,-8225.279276258207,440.674555738108,41.61909834773663
0,-8332.658492633804,-117.05890130125093,-123.85891293997597
0,-7796.4190893913365,1008.3168901737531,-28.14846159492823
0,-8283.728430614367,382.70551018620677,-15.863354787611861
0,-8290.580886530804,356.46213352470113,-21.600606419171818
0,-7951.162543412746,978.013008114714,67.18349710504191
0,-7908.265876529497,955.9146533117437,33.931811597443804
0,-7931.064620907741,938.1347983135768,37.02347662330879
0,-8836.194692369405,-537.8447143386531,-164.07823125451262
0,-8463.235260549636,-217.18091850327366,-117.50769338666169
0,-8127.318316288809,619.5193879442716,44.61511009574328
0,-8469.461772923027,-136.76707344792095,-89.5582111108331
