phase,d,l,b,x,y,z
149,1130.2,3.920009468565913,-0.015708011804887657,-793.4754534353456,12.464947013450336,-804.7318621078231
149,382.3,3.5936329703197707,0.37000979108725995,-155.68813462565097,-60.38744581180663,-343.90093213760167
149,372.5,3.5150930523215704,0.3455752627155944,-127.88129392994678,-46.04010901186161,-346.81829972620886
149,351.9,3.5377823809943263,0.3351032678892621,-128.2466224422947,-44.66020646209115,-324.64115541765017
149,446.4,2.0525072431205014,-0.2897246934036879,379.113622248837,-113.01869490602975,-206.8153669994179
149,383.4,1.9600047180889326,-0.18500485053185944,348.6721486635928,-65.25220089321516,-145.48348024743188
149,350.6,3.5098570681570713,0.3403392592279998,-118.9753634729593,-42.131393255514055,-327.0935165802381
149,356.2,3.5761795332381734,0.3403391615638489,-141.37070197499278,-50.0619844074179,-323.08909350253407
149,351.8,3.4906585453058,0.36302839669815495,-112.48075323668921,-42.727418667984054,-330.5838590210929
149,899.9,3.83099774181522,0.03839729668170648,-571.984900983631,-21.973473883361358,-694.3849433075598
149,1176.6,3.935717487769315,-0.04363319719099455,-838.4117575055824,36.605819226489835,-824.6898197959995
149,244.1,1.9704766704413732,0.012217238324877554,224.844581431161,2.747116517801109,-94.98514384830729
149,1031.9,1.3631021220839674,-9.60673218197707e-08,1009.723416678562,-9.700142441901813e-05,212.78212286506067
149,420.9,3.406882697965892,0.3769910815677499,-102.60588029457634,-40.624537500686436,-406.1754427360551
149,958.5,1.3840461122199847,-0.04014256851772843,941.0756220188892,-37.79749743961037,177.9614363536751
149,309.9,3.6023594757528064,0.25307272167539235,-133.40340132638838,-34.500462568760234,-277.581088327523
149,1023.6,1.3526301704681785,-0.024434677233934114,999.0382790880607,-24.416037313737533,221.54758865458356
149,745.9,1.5533430090617917,0.06457712556956154,744.2318946847463,48.12727532624722,13.017768765202717
149,453.6,1.8483037450604678,-0.09599306627284168,434.23746208658184,-41.81229325177016,-124.2679309139425
149,465.6,3.598868840506631,0.35081122375448964,-193.04499400910075,-70.64444553955767,-417.76351277060417
149,152.2,2.1031217466436885,0.2687807387374632,126.43142999861301,34.82502248315556,-77.24733857909622
149,1107.3,3.9165189360685178,-0.024434584399363468,-774.5060252636766,18.928500072213552,-791.1355248724944
149,956.8,3.8257617290274912,-0.0017453867161455925,-604.724722097565,1.055479568669592,-741.4668815577018
149,996.7,1.3439035040836036,-0.050614486333096516,969.9109399314578,-49.133508351131205,224.20873524103698
149,368.2,3.574434260793492,0.46425758239550313,-138.09518399801453,-69.152917120049,-334.24367489952914
149,462.0,1.8011797805073144,-0.20245812087094997,440.6065414402804,-90.44350077763896,-105.49809859480739
149,246.2,3.649483542639677,0.2111848865058737,-117.07564434941374,-25.09884913781467,-215.1227121252584
149,1061.5,1.2583824640966772,-0.061086499247069666,1008.2334124589638,-61.666172361524765,326.2589756430185
149,439.0,1.9704766777338436,-0.32986726718481246,382.5972936316376,-130.99234862821018,-170.82539479425165
149,418.3,2.012364622386945,-0.3403391507360907,356.4860274095708,-126.23830172878021,-178.7637923025136
149,992.8,1.3980087803841694,-0.010471956277788857,977.9629223910908,-10.241559336825425,170.6911623096745
149,980.4,1.3508847992549013,-0.043633240853968476,955.8781331529815,-41.734549749061685,213.8676738481393
149,957.7,1.3700834059490916,-0.029670649295127,938.0608175285859,-27.84104394441405,190.93472415903463
149,894.1,3.787364479483924,0.02967064430516669,-537.8459816407988,-15.962921391200904,-714.0600081040136
149,428.2,3.708824656227486,0.3351031820406285,-217.27427080850185,-75.66289798653823,-361.1402180772899
149,619.5,1.5795229825854025,0.003490598609758537,619.4726373539555,2.162339108919055,-5.406094645183778
149,396.9,3.5168384927252134,0.347320554810389,-136.7784045579381,-49.513096445400045,-369.28272546515564
149,383.0,3.6564647753801616,0.34208449451526934,-177.67036213830258,-63.26556238069912,-333.3462329685132
149,322.6,3.60934085725149,0.32812194269047995,-137.6930526008169,-46.874545298614755,-287.9481902504629
149,825.3,3.7332592356697694,0.11170107287238153,-457.43834434744593,-51.3099317801686,-685.0091546989586
149,771.9,1.5323990738229023,0.06108655663638918,769.8923554704933,47.088659054157304,29.63155710685757
149,950.1,1.350884803814261,-0.02967066459036431,926.8104001071907,-27.507152953011964,207.25792817059775
149,794.2,1.485275200292454,0.07155857062127141,789.2723287643475,56.575800554835325,67.83811493904506
149,735.0,1.5515977564532684,0.05934123536289901,733.5710592979545,43.582181404835325,14.110082369460816
149,354.6,1.9442968011959254,0.09075712156392497,328.79361478332424,29.922563154643314,-129.38531250482563
149,409.6,3.3615041974885322,0.37000982112064773,-83.30452475128273,-32.31169757742182,-399.73550049454974
149,392.7,3.4068826405569093,0.3019420186174536,-98.3037626489797,-30.618218750102642,-378.96198348861316
149,434.6,3.4295719464108165,0.3961897696551846,-113.87169309381098,-47.63356500099798,-416.7030609405751
149,428.4,3.4365533595597197,0.41189772634858235,-114.12092235701243,-49.85820814766272,-409.8989316413121
149,374.8,3.5587263642254925,0.35604719625451,-142.3235255053367,-52.92964935214595,-342.662379474594
149,417.7,3.5691982615702504,0.35779248391179513,-162.24787064642433,-60.66199075643949,-380.0908330230641
149,439.1,3.5831608785921727,0.38571781764465357,-173.86569529701458,-70.5995485252633,-396.9826617711593
149,440.2,3.726277871930066,0.312413921583915,-231.20188126019625,-74.67616921119085,-367.076558572851
149,839.4,3.7384952074582998,0.10471968534228981,-469.2281162556474,-49.317829221008004,-694.2514577846446
149,828.4,3.7437312814014434,0.12391841302330929,-465.61301034589627,-57.99518328954065,-682.7061178221892
149,813.1,3.7768925136280926,0.055850476096236265,-481.7565612037891,-26.934344346273857,-654.4591406892689
149,669.2,3.8292522983453012,0.1518436763184166,-419.87426052093366,-64.2498038986212,-517.1133415905916
149,652.8,3.8362337356118195,0.16057018964958802,-412.4883515377937,-66.80849185569451,-501.53546760084777
149,1168.4,3.939208162154763,-0.02094394220491218,-836.0320273234812,17.512367129048123,-816.0283857115069
149,1181.7,3.9461895264690736,-0.029670553336565052,-851.1005534056932,25.260037288028265,-819.3928657907209
149,490.3,1.9093901407498062,-0.24434614075173516,448.72497384254933,-111.87972322712545,-162.85857478384506
149,410.3,3.6093408782605776,0.3577924739514459,-173.27971948770147,-64.78662789711072,-366.22796406061735
149,333.5,1.9600047332790982,-0.012217365673231954,308.53441521999065,-3.769665333858097,-126.5486240467636
149,463.0,1.6982054560916822,-0.2635446872163481,443.39053008614746,-119.63593247606026,-58.83095690628109
149,367.0,3.583160886371725,0.36826451776973457,-146.32472213099635,-56.462018848362014,-331.79830638635565
149,412.0,3.5814155759688675,0.33859383017329747,-165.46111146912358,-58.26804706345996,-372.7887542332959
149,391.3,3.633775425794897,0.3438298442811709,-174.0864607656563,-62.3319735363864,-344.85405500464515
149,1023.9,1.3665928286438298,-0.005236043340188143,1002.6124968035942,-5.249770462930136,207.63388731936104
149,874.1,1.4625858630050728,0.052359810851798264,867.7964389404057,45.47922618660936,94.40228041640668
149,819.0,1.480039219692762,0.08377579787652477,812.7687970924842,68.25009769478574,74.22807176189039
149,623.3,1.579522976800899,0.005236023524029294,623.267722791947,3.263474282102233,-5.439251910948477
