phase,x,y,z
60,-8927.029093538204,-793.4419665247159,-156.1178665715801
60,-8442.665282665366,-155.72909948115264,29.088681362187856
60,-8448.188142091723,-127.85085900621868,30.198286577384952
60,-8428.598409089085,-128.26787904983587,25.06546945519826
60,-8320.286577743198,379.16813882109113,-13.868178486251288
60,-8264.962005723733,348.779983964105,42.90275392184267
60,-8430.169768880192,-118.93229517675597,30.816810424654854
60,-8426.648588991953,-141.42563701287173,21.579592733160943
60,-8430.972165902813,-112.48519478781087,41.706283451397184
60,-8816.5199075391,-572.0637841487962,-203.3281300312816
60,-8946.452723125165,-838.5068255736236,-165.3946651829358
60,-8216.717304641541,224.81514525750285,107.46571742453872
60,-7909.1205843926755,1009.7952464940449,41.87352528629895
60,-8499.379532700299,-102.56374747809569,57.366420827689545
60,-7944.149776100636,941.035206525085,25.3608016947071
60,-8390.80975017329,-133.41691984006238,-5.819806738180073
60,-7900.486303667392,999.0419817483828,22.020602048237542
60,-8109.0017960614005,744.2458142031505,12.97271367300322
60,-8245.583348895962,434.2655306657406,57.447251388031354
60,-8514.37043626303,-193.07194439977673,12.643798024887126
60,-8196.237119526015,126.51716944163701,122.66393261045909
60,-8913.348784367365,-774.4736733535227,-176.34351797547873
60,-8864.116284838834,-604.7645816506401,-222.98289312383943
60,-7898.082260526426,969.9128191190063,8.06633816691032
60,-8420.726308760832,-138.1016044605059,70.77035231265779
60,-8225.365766779822,440.6378671154748,4.469306499739297
60,-8332.401083044544,-117.08236932897304,-6.942652057897831
60,-7796.484154888467,1008.3211423908151,-54.127212533629866
60,-8283.776188591746,382.73417735122206,-29.799961741128534
60,-8290.611752657293,356.50096561903445,-26.486320427478752
60,-7951.200272249578,978.0260587728515,51.564732574518864
60,-7908.301870942034,955.9102701842154,20.25456093788801
60,-7931.0833260460395,938.0639750473614,35.350990276525174
60,-8836.304706437762,-537.825764050172,-216.83253936900587
60,-8463.069262705323,-217.25965863809972,-4.475879068370933
60,-8127.420247269602,619.4640846916948,4.592925530869046
60,-8469.12187466832,-136.7527147848811,28.852826412955082
60,-8436.044902495603,-177.67686623883958,10.26428722594002
60,-8394.55265786274,-137.68430972949164,17.23340938802348
60,-8803.22305703734,-457.46056218634317,-163.80201156086025
60,-8092.417200121028,769.8898452070911,12.656947850669887
60,-7914.768122501886,926.811176391519,35.18993856740854
60,-8054.2880993713525,789.2613955550887,28.923678433250124
60,-8107.916896260154,733.5742631607325,9.239027584028314
60,-8250.507868546489,328.7953625304456,145.49102319348773
60,-8494.568591792757,-83.30783890016464,61.89260012904088
60,-8483.831299833859,-98.31687903712712,24.998464766939257
60,-8506.363568004406,-113.89196657228263,61.80966529162585
60,-8497.499551893894,-114.12949217003344,67.88113015686841
60,-8443.085246132881,-142.30428619099695,27.752743900047875
60,-8477.939089813173,-162.2254197075113,23.759181973815533
60,-8489.831418644673,-173.90050102454154,33.81840765450736
60,-8471.359342403746,-231.18545589471157,-18.63811051019475
60,-8812.976415373483,-469.2729212145872,-168.64646035303173
60,-8799.953469126029,-465.65304671994534,-153.71320870204585
60,-8776.123477654504,-481.84196738178736,-210.35804128788442
60,-8633.450716157433,-419.77301072216665,-148.92669168484994
60,-8617.470964284237,-412.4830573359405,-142.1872928376519
60,-8938.305226554863,-836.0912665956904,-143.37578251716388
60,-8941.383935354119,-851.0419454961752,-147.3035872230828
60,-8280.100257247595,448.7502208670138,-17.07367918297897
60,-8465.08090023743,-173.31277980317145,18.99434490226218
60,-8248.339261799962,308.65980809685004,108.64528032397516
60,-8178.892657255787,443.2960091588654,-30.764062685987433
60,-8431.49170817482,-146.31963039541935,30.557647975076183
60,-8473.632936611059,-165.46955448125908,14.237757743406412
60,-8446.747000640908,-174.12989412729183,12.62526497117273
60,-7914.289296640731,1002.6019226442936,41.71702640291982
60,-8027.59872211715,867.7947113547282,60.19803946473973
60,-8047.926341735691,812.7924310004427,50.53873379752027
60,-8127.451095373291,623.290173099788,5.5814389809990175
60,-8138.649962726884,561.0674685573588,11.045675198907524
60,-8202.438615858453,741.9028994382629,71.88259380647321
60,-8192.698186594489,442.71413944083724,93.59993480996681
60,-8245.863897547035,435.2582389003386,58.326146786902875
60,-8263.632242912128,363.6984509252361,76.0253512549051
60,-8246.51225143281,308.79187871086333,107.25022664996723
60,-8305.690783041604,376.4554189200329,-21.274080931627402
60,-8422.286603800316,-42.21400599652557,43.31104113702319
60,-8487.507439631858,-157.45701438462208,51.66696817941245
60,-8451.665656961792,-166.54474226448372,25.51191946709995
60,-8433.047581977087,-155.0921868364241,18.56263265766127
60,-8465.310771910708,-218.68388867202464,-6.782288189461724
60,-8362.456860254975,-156.22636997013421,54.09715266645778
60,-8905.574884296082,-616.167125015984,-209.0602505116522
60,-8771.946876979244,-526.0890414891819,-98.00200170574195
60,-8614.945052539197,-443.52426955089044,-129.74945602900124
60,-8864.632614906397,-605.2151258067347,-208.96277263773317
60,-8948.349947083088,-814.4552447221629,-160.80330609357893
