phase,d,l,b,x,y,z
90,414.8,3.4295719066578476,0.2583087252998141,-113.90101468058855,-30.093945695755178,-397.7184346836255
90,408.1,3.436553325358866,0.2775072517305185,-114.09673765367152,-32.501298434143486,-390.47562031051825
90,358.5,3.5587263614169125,0.20071284987868107,-142.3274632771752,-28.9568475848995,-327.76004054037645
90,397.8,3.5691983449039815,0.18325952717936772,-162.20262830313257,-30.0624727860316,-361.9825895005793
90,415.5,3.5831609128393698,0.20420358393829607,-173.87782757675362,-36.00837818182642,-375.64630675397746
90,420.5,3.7262779698727013,0.08726641630249835,-231.20633852526356,-20.227922770154542,-350.6489842650994
90,843.6,3.738495258807231,-0.14486228599941978,-469.20694748977706,68.44987093373915,-697.725171967072
90,828.8,3.743731319088862,-0.12740903241378648,-465.632486659906,59.64889581925012,-683.0357505976219
90,827.8,3.7768925472756254,-0.19722214302945384,-481.7094873257342,96.25502248862443,-666.2910628742462
90,667.1,3.8292524007257525,-0.12915436656516294,-419.90206732657657,54.53575754635668,-515.4905576280833
90,649.3,3.8362337651736476,-0.12217307225824146,-412.52526842116055,50.65174425336499,-498.84646307069386
90,1179.7,3.939208135422407,-0.13962628710329933,-836.0860393265976,117.50418461421098,-823.9205006803221
90,1193.2,3.946189504141805,-0.1431169757907523,-850.9716388698691,122.62686656880076,-827.3670052852281
90,480.7,1.9093901565953135,-0.1448623620509882,448.6580546299196,-65.4521473897724,-159.66983565396305
90,390.3,3.609340854927967,0.17453285362927484,-173.30399950655536,-30.55815818866125,-348.376251663555
90,339.6,1.9600047572935293,0.19024088943132475,308.53262489460457,59.414019072089765,-128.86331407094355
90,454.3,1.698205361625118,-0.1797689094822192,443.35595932061983,-80.57143161052107,-57.72545143283024
90,350.2,3.5831609701317313,0.2129301867970926,-146.28077446618306,-31.627025682781582,-316.6097065284549
90,393.6,3.5814156912297577,0.16057026816786096,-165.43096176666452,-26.793965257865022,-356.1399167668751
90,373.4,3.6337755127221425,0.16057033876873386,-174.1806456422334,-28.211117228675622,-329.0787072242211
90,1023.9,1.3665928371546052,0.006981342760801645,1002.6018091404105,6.9996206010904185,207.63387878623428
90,874.4,1.4625858651733366,0.05759586219336905,867.8441635840991,50.039576910036025,94.43467835323983
90,817.6,1.480039265570749,0.061086494589564236,812.7163776260356,49.70783925005863,74.10114881366832
90,623.7,1.5795228982796554,-0.03316126898140238,623.3333642885308,-20.678105609804344,-5.44269355481136
