phase,x,y,z
206,-8926.09600070838,-793.3951108295386,189.71366628584468
206,-8442.502143863872,-155.7348387449003,97.40425993763657
206,-8447.997879244058,-127.82659562896596,80.25938356246861
206,-8428.42856075738,-128.24248713935856,67.69699535669426
206,-8320.581227712048,379.1458433384219,-133.56433135262745
206,-8265.268969670295,348.77145219411216,-78.43131631811508
206,-8430.134644057009,-118.95493751342198,67.44021465242928
206,-8426.508149111127,-141.42162368525985,72.97787178653266
206,-8430.816859862274,-112.45901875333837,74.2571368062531
206,-8815.445319928744,-572.0549928667205,212.09700577931
206,-8945.598505536702,-838.4664164159474,152.69006129047415
206,-8217.092111513934,224.8429888334091,-34.410004959072914
206,-7909.138279542832,1009.7327795925355,40.070436866936966
206,-8499.344854230954,-102.59093703097757,109.94633812874505
206,-7944.299744508184,941.0573250039805,-34.87481691821376
206,-8390.73048628669,-133.4183066037798,26.20146497934183
206,-7900.500060286797,999.1030765771815,11.303833599559816
206,-8108.813877059923,744.1284249740745,87.18941928666283
206,-8245.798206559413,434.30995907332544,-21.570135006272018
206,-8514.007783519428,-193.05375610917645,139.78601946545118
206,-8196.55856340013,126.46344383013114,-15.33150594218688
206,-8912.521295022418,-774.557862764864,180.37859925710086
206,-8863.03934982298,-604.7484250605968,189.69120814438455
206,-7898.1783098636415,969.8627361457168,-24.97123365311422
206,-8420.57845237656,-138.08905361740037,117.83306515892312
206,-8225.576343279281,440.77463475603076,-65.29851613063735
206,-8332.402482185182,-117.08189910290058,-7.79485994811332
206,-7796.407109247729,1008.2655228530382,-17.03236459132581
206,-8284.045617513166,382.68977833946474,-142.42796599721228
206,-8290.948964845657,356.5532808119568,-148.61477201918507
206,-7951.308468358178,978.0419244999086,8.234308945486468
206,-7908.417554662952,955.9214628117757,-25.93791103306848
206,-7931.226749782178,938.0950257894377,-23.15840015183455
206,-8835.297630925994,-537.8707727314464,199.59243575594522
206,-8462.653501620867,-217.19706385451587,119.46757689157246
206,-8127.260121543481,619.5274680915488,67.39888944161086
206,-8468.968457090856,-136.75764222118104,93.5444440340751
206,-8435.748858664745,-177.62837765595938,92.37415546869573
206,-8394.450129030722,-137.6803058872866,54.13102227251365
206,-8801.985140097118,-457.31722223880064,236.11891579562933
206,-8092.256313495362,769.9504312382952,74.60511331770434
206,-7914.92904390766,926.7937365269222,-26.175084599677355
206,-8054.179138260062,789.2502251046362,71.8535487585757
206,-8107.720296558938,733.5485292148127,86.24436793802192
206,-8250.812992222638,328.7539301758572,19.897702791395822
206,-8494.527705102682,-83.31943165991292,98.07474888188455
206,-8483.655177433422,-98.29971628937625,69.08916176673254
206,-8506.199957922794,-113.89185380387325,125.49103013388134
206,-8497.40657942092,-114.1484634528162,128.44590397982148
206,-8442.892766621711,-142.2866522101712,87.34725378195355
206,-8477.726737411038,-162.23179287277134,112.0284725180843
206,-8489.585405071368,-173.90720921879787,135.35968488712757
206,-8471.105605826528,-231.24991069070805,118.42252816152924
206,-8812.039807884168,-469.3397158899943,235.40528195366602
206,-8798.744845272286,-465.528680311094,247.3785135818286
206,-8775.015847457798,-481.77977807000826,189.1246951994488
206,-8632.675083100046,-419.8426285545706,187.02518919938083
206,-8616.626682723932,-412.4755445316759,183.92382271851653
206,-8937.36649675334,-835.9800798397725,180.8157449465424
206,-8940.622157392881,-851.0948184894494,170.01748051628036
206,-8280.33110168554,448.8283201188883,-96.5541931357348
206,-8464.758522550539,-173.2682326976344,110.39808072891324
206,-8248.631781629965,308.55670830126064,-22.18945851459555
206,-8179.035658013905,443.2854349918511,-87.17202400697354
206,-8431.35239021987,-146.3235147385748,88.14603539173388
206,-8473.301214511177,-165.42036397832592,102.86373210938109
206,-8446.52845790062,-174.12716452581853,95.93010698091942
206,-7914.302837079665,1002.6689647182493,30.993064209861977
206,-8027.655183463203,867.8860190429547,34.273988632077526
206,-8047.863901637954,812.8359009052399,73.39273213487303
206,-8127.289775639099,623.3335805979483,68.77940275567113
206,-8138.576029830485,561.1107367403383,40.44644172636938
206,-8202.216475596926,741.7905560800967,153.91733280164414
206,-8192.852238636002,442.7033890239288,32.722448486537324
206,-8246.071189011876,435.2674325280726,-21.663543593146535
206,-8263.92156998502,363.67931644156613,-39.96242434879395
206,-8246.811388332811,308.7053958722863,-23.305065127515512
206,-8306.05759301674,376.5869346888826,-139.56432904579214
206,-8422.296130578367,-42.20860464379645,24.74472349966379
206,-8487.30577604467,-157.4672925731312,139.6584116922351
206,-8451.420911687705,-166.52560608448104,106.2327059101292
206,-8432.848619287364,-155.0743060056936,82.25223011745587
206,-8464.910548817328,-218.63355737774782,118.61792429584341
206,-8362.347381750573,-156.21634066702444,90.80569633495614
206,-8904.584020355636,-616.2051672943836,196.70908356354943
206,-8770.775234742508,-525.9904035561384,311.88500586903393
206,-8613.891898417076,-443.3642508722461,212.05581986816802
206,-8863.789560944313,-605.3894898704074,203.68613576275936
206,-8947.365612113957,-814.3132448213008,167.36489881772127
