phase,x,y,z
37,-8926.976398597091,-793.4663684194355,-125.91496138316035
37,-8442.839493425503,-155.74831639927703,-23.423865595798524
37,-8448.38786012147,-127.87730605234702,-21.39695135978684
37,-8428.716150587254,-128.26202836422274,-26.310044136915245
37,-8320.246394530708,379.14634888731393,-2.6115854050330896
37,-8264.91351647324,348.7277454101313,53.47970316292628
37,-8430.303062672483,-118.93331494310681,-20.14709784485045
37,-8426.780615784353,-141.42506783550584,-30.420120472101225
37,-8431.104048020796,-112.48595947025703,-8.91902473207849
37,-8816.357720495338,-571.9197122177249,-208.2831752415073
37,-8946.32581296788,-838.464930934309,-131.85678161492933
37,-8216.734010554634,224.8431716345763,105.56354426328016
37,-7909.089337007289,1009.8117537215225,52.688276742760756
37,-8499.583171551465,-102.58285764121848,5.3678205716511584
37,-7944.12569911643,941.0947595216807,30.37606084981018
37,-8390.877037920505,-133.38569285347035,-56.65367799815896
37,-7900.453407594796,999.0665463507021,32.7375012818158
37,-8109.022205958294,744.2233647223513,5.176272795894981
37,-8245.525794638852,434.23511702083704,76.55545312847926
37,-8514.578339549033,-193.10631509641362,-41.22334971991816
37,-8196.227081318937,126.44147224052884,109.1650376401443
37,-8913.270268556402,-774.4666629084915,-148.5357913779003
37,-8864.11226647795,-604.7724323959922,-217.6527575700064
37,-7898.061773083333,969.8862959357518,18.49100481169551
37,-8420.81147041545,-138.07996077818825,19.266424449222686
37,-8225.313632258945,440.6311604516229,24.22488450362885
37,-8332.499885917967,-117.06944954617249,-54.55972694802214
37,-7796.4674684427255,1008.3139450628939,-46.696583376629754
37,-8283.74364243475,382.73705437356966,-16.597391770496735
37,-8290.593094854772,356.5180161679432,-16.044283543875544
37,-7951.179820542678,978.0158771258862,60.23943303377148
37,-7908.288114642318,955.8738567974747,28.8020741722463
37,-7931.068855287829,938.0719174418865,40.365159083286805
37,-8836.355314891893,-537.8509205344401,-223.5436484797862
37,-8463.202473391537,-217.25649284384238,-58.390609730144526
37,-8127.387092551056,619.4679296936638,17.571122919566697
37,-8469.226622875753,-136.74055408994982,-24.122227697362966
37,-8436.168321613939,-177.6690323114432,-43.315558962876175
37,-8394.705300869455,-137.69580682573488,-33.4516963023533
37,-8803.318462582572,-457.4882363130553,-185.01200928204142
37,-8092.444327728207,769.9020392517616,1.8956130091682653
37,-7914.750470649162,926.8522820872627,38.506743951452215
37,-8054.317138938539,789.2938699447333,16.480070495249286
37,-8107.933773441044,733.5457273815773,2.8343194513273815
37,-8250.514141993037,328.8708601503967,154.60204139880233
37,-8494.75193274524,-83.31969469864396,11.08512779954382
37,-8483.914725198,-98.30377531874987,-26.304355939925237
37,-8506.49312587631,-113.89037027259394,9.18200026296396
37,-8497.682368919872,-114.14431500723616,15.59321900000765
37,-8443.311552190013,-142.34573286102193,-24.010183116894176
37,-8478.103000661089,-162.23759663061333,-29.794521865417764
37,-8489.980914290807,-173.90556684005833,-20.310926929971927
37,-8471.469602199333,-231.16543544223845,-73.46119257036139
37,-8813.009558213293,-469.2633088651385,-187.13645224760648
37,-8799.8625149752,-465.5533831201666,-174.7976465422213
37,-8775.936328073854,-481.6634105168096,-231.89183478075228
37,-8633.757246178733,-419.9430682181137,-187.7662714101619
37,-8617.565188794853,-412.4732964742893,-183.580735383079
37,-8938.230075075495,-836.1012162345672,-110.21672145179244
37,-8941.402053374506,-851.1555648224255,-111.6916638130239
37,-8280.026652746707,448.6745745428897,1.2681095134147924
37,-8465.25340619004,-173.33078129670852,-34.40420587385412
37,-8248.253779611916,308.4979470664871,116.10563375086599
37,-8178.843860921655,443.33977682963996,-9.524727565495375
37,-8431.53214672789,-146.27552094907674,-21.648007268377093
37,-8473.7118872527,-165.4423494487658,-39.14774192470137
37,-8446.855183348296,-174.1137416900027,-41.350219554244596
37,-7914.265139967037,1002.5641189727085,54.23411634710015
37,-8027.622611772916,867.8628797658971,47.99406328863625
37,-8047.9629784345825,812.7905257679191,36.28269150450296
37,-8127.420300235365,623.2677329750777,17.551317055312232
37,-8138.6027615010835,561.0836809226234,29.66150165918463
37,-8202.438615858453,741.9028994382629,71.88259380647321
37,-8192.650952507378,442.74257822729163,113.83815457880817
37,-8245.851718829266,435.3806042497336,76.70253280259266
37,-8263.584233729482,363.6578246383053,88.58317457066119
37,-8246.475233725834,308.74764348186585,114.72011290254278
37,-8305.672576812876,376.47994764541795,-9.489420802689018
37,-8422.383877528093,-42.211352894110505,-1.7691453927224785
37,-8487.572849535312,-157.42605610161746,-1.910010753583066
37,-8451.843044391837,-166.5655148639306,-27.64806101862849
37,-8433.167014347277,-155.08446347844568,-34.075518148184045
37,-8465.49597157852,-218.71308604361477,-61.138791386295345
37,-8362.660918098616,-156.27450353217282,3.3634903314625753
37,-8905.570615229186,-616.1858286234468,-198.09434847833955
37,-8772.016767040632,-526.114599712696,-112.94084974934722
37,-8615.079011784013,-443.55663025035506,-168.01869075251403
37,-8864.643991509736,-605.2352568171381,-203.6696551699746
37,-8948.277179732748,-814.4668662281102,-127.738955932072
