phase,d,l,b
136,1131.8,224.59999884264445,-3.2000043630649757
136,381.2,205.90000022690086,20.699997744466728
136,372.1,201.40000186509425,19.699999301075653
136,351.9,202.69999926671832,19.20000295109652
136,442.9,117.60000187810091,-14.999996171595603
136,381.2,112.30000252027612,-8.599997999976795
136,350.7,201.09999810678957,19.59999908777653
136,355.8,204.89999740812632,19.299999273813338
136,352.1,200.00000172523121,20.899998274678723
136,899.3,219.5000003548126,-0.9000019150057369
136,1179.1,225.50000338543543,-4.500002056451927
136,244.9,112.90000071454025,4.59999877323096
136,1031.9,78.09999864073762,-5.504252089397903e-06
136,420.4,195.1999971922398,21.500003646337024
136,958.2,79.3000019209246,-1.900000194295959
136,310.2,206.40000130939873,14.600001344452957
136,1023.6,77.50000000988771,-1.4000038792688216
136,745.4,88.9999984985866,3.099997351283796
136,453.0,105.89999898373854,-4.600002641184936
136,462.3,206.20000268371493,18.900001243619435
136,157.9,120.49999801066565,21.59999578546734
136,1109.3,224.3999954221434,-3.7000007266414094
136,958.2,219.20000365998257,-3.1000001188127015
136,996.5,76.99999667816354,-2.700003803073481
136,367.9,204.79999890036456,26.499996643974953
136,460.7,103.19999661176651,-10.80000087871006
136,247.2,209.0999965739264,13.100000495637438
136,1061.9,72.10000186305611,-3.6999968865881647
136,435.3,112.90000233183223,-17.29999711339942
136,414.0,115.30000313836982,-17.699999930675897
136,992.8,80.10000321785965,-0.3999978852258835
136,980.2,77.40000161607699,-2.200002165318132
136,957.6,78.50000121700263,-1.2999944833172596
136,894.1,216.99999672396044,-1.5000020352186736
136,425.2,212.49999639482022,18.000001694763185
136,619.6,90.50000255869193,-0.6000000880479269
136,395.9,201.4999983958281,19.60000055284727
136,381.4,209.4999942513864,18.899997958460407
136,322.7,206.79999788390325,18.900002960162983
136,821.5,213.90000326583817,3.299999939685126
136,771.5,87.79999481006662,2.9999985518504246
136,950.0,77.40000021697914,-1.3000035265283043
136,794.0,85.09999874713485,3.9000030161900403
136,734.6,88.89999464571872,2.6999987188877967
136,356.1,111.3999976873659,7.399999324796129
136,409.8,192.60000333160372,21.20000112860366
136,392.6,195.19999905210216,17.199998553599617
136,433.6,196.49999622105491,22.3999990998804
136,427.6,196.89999773175865,23.299997254574937
136,374.0,203.8999978638384,20.100001652450658
136,415.8,204.49999428763255,19.799997896258798
136,436.5,205.29999826494927,21.199998077285226
136,436.9,213.49999910308583,16.500004323804784
136,835.9,214.2000060684615,2.800001506740281
136,824.0,214.5000035944606,3.9999991808935333
136,811.8,216.39999971198336,5.621411865761245e-06
136,664.7,219.39999498997568,5.600001094345849
136,648.2,219.79999687350843,6.200004267641083
136,1170.1,225.6999947843201,-3.3000020094754907
136,1183.5,226.09999866155175,-3.599994506983595
136,488.5,109.39999917664797,-13.199999605802196
136,408.3,206.79999851057755,19.69999955022212
136,333.7,112.30000137947219,1.900001864182537
136,461.8,97.29999767703299,-14.600001493969158
136,366.3,205.30000452266924,20.900002924630726
136,410.2,205.199997356194,18.699999065099686
136,389.8,208.1999996012383,19.000003043455173
136,1023.9,78.30000139413636,-0.30000318474036297
136,874.3,83.7999957336559,3.1999979993510483
136,818.9,84.79999645619539,4.699998397055117
136,623.3,90.49999839192715,-0.49999697527769205
136,562.0,91.69999836805873,-2.7999979779838813
136,751.9,96.19999587149826,7.0999985722919625
136,448.4,99.09999788152213,0.7999955160311013
136,454.0,105.90000065794582,-4.499999352349765
136,391.1,111.30000037670844,-3.5000033674034032
136,333.1,111.9999992005963,1.59999725916419
136,436.1,115.99999717237988,-16.199995762168193
136,317.4,187.99999523168412,17.09999891202296
136,432.3,203.3000010788665,22.99999612663202
136,394.5,206.799999148373,20.499998698962298
136,368.3,206.50000398902662,19.300000777361717
136,427.2,212.49999514736487,17.699998793043466
136,319.8,212.99999945221677,26.19999906219534
136,997.8,218.199999780541,-2.8999980069723326
136,842.8,218.9999972029862,7.299997575498654
136,668.1,222.00000052582843,7.299996968878317
136,958.5,219.19999461034368,-2.2000018558820194
136,1162.7,224.59999922077327,-3.999997473331293
