phase,x,y,z
94,-8927.010284172042,-793.4589219415959,-141.9958837570884
94,-8442.386340328652,-155.68670676280692,103.90725177498453
94,-8448.023437704745,-127.85702441083158,100.60333407752509
94,-8428.340167745633,-128.23379213055605,94.03583425418427
94,-8320.335680044871,379.1063087257186,-45.68156962379329
94,-8265.00840561292,348.7000929171209,11.955641486931476
94,-8429.998025640913,-118.9329168054403,98.46859357933667
94,-8426.398767118168,-141.3938885472121,92.3484696552174
94,-8430.73667189561,-112.46173869979692,108.4674873402708
94,-8816.1853550966,-571.9267327276585,-137.58692103772455
94,-8946.343747387495,-838.4066934864891,-161.16629031149986
94,-8216.779908904213,224.84992184779367,88.73468989244154
94,-7909.157174685424,1009.7964608386693,27.46155687518489
94,-8499.324756758637,-102.59815811738731,128.08371701121192
94,-7944.169677311262,941.1105338867368,11.988005185607555
94,-8390.657768993124,-133.4257886398784,60.461197407229754
94,-7900.5373565072805,999.0178961165484,4.159781111925831
94,-8108.955849634427,744.2140478318277,31.161239030834814
94,-8245.657390842473,434.22036200629384,23.48127733415196
94,-8514.05071040154,-193.022365685199,98.10564305551983
94,-8196.161721820188,126.37400692208362,119.17656353675173
94,-8913.404003463373,-774.5777028057272,-156.48276451506905
94,-8863.9926930533,-604.7776539285611,-168.5064916201481
94,-7898.141131763522,969.8504878369566,-9.31315500531975
94,-8420.50319340254,-138.0813797065083,140.73116693494495
94,-8225.468152538559,440.7016518418419,-29.708744277844467
94,-8332.247723605982,-117.08009268249774,51.323867420138065
94,-7796.513899043828,1008.2587104520093,-57.84011753964206
94,-8283.84409659288,382.69655140308294,-62.55260140576096
94,-8290.698339981018,356.5197655958704,-56.85011227191041
94,-7951.245850167384,978.0195429994355,34.22753912819706
94,-7908.356294052709,955.8622673261991,3.1582194086485558
94,-7931.114155678026,938.0803007935598,21.98366027766462
94,-8836.136397971495,-537.8321138412923,-147.8529610204697
94,-8462.826392604382,-217.2426523039387,79.93623557477125
94,-8127.434430132315,619.4988209477781,-0.8193807541115135
94,-8468.885759970995,-136.7339561171566,102.35063604116561
94,-8435.820876839247,-177.66161653306793,87.17002356209389
94,-8394.423904672003,-137.70669673053436,84.74669435976023
94,-8802.977852190352,-457.44077067572397,-79.61454714724889
94,-8092.361132230777,769.9146750496316,34.17418211233933
94,-7914.798570387813,926.8265318686581,21.928643738854127
94,-8054.227370866516,789.2660867899657,52.44434183322107
94,-8107.872837042462,733.6468693133897,25.887850855786233
94,-8250.583944520478,328.79533777679603,115.75422571075083
94,-8494.493779950717,-83.32965439693596,129.12797413037543
94,-8483.678310525172,-98.32330972089558,93.9414380501405
94,-8506.218765402631,-113.90485791000131,135.2700680370198
94,-8497.293415801363,-114.12386313663245,141.0359936611177
94,-8442.848945389851,-142.28247292332406,100.76599607668584
94,-8477.782185881197,-162.2453280121802,102.02128612624008
94,-8489.63383287828,-173.90446630388647,114.19329624942958
94,-8471.131462729956,-231.18136731753543,67.93553838148856
94,-8812.85070804138,-469.33162479007115,-85.87860326577982
94,-8799.628156185747,-465.5749921606564,-71.1195418758706
94,-8775.797924097718,-481.7603316923562,-126.52817176602471
94,-8633.307577996691,-419.8616187718469,-50.92025410634256
94,-8617.285889478873,-412.5397441434203,-43.39738085175025
94,-8938.263389713777,-836.0646208538689,-137.13466098833956
94,-8941.368183195218,-851.0366698715676,-143.09634006880634
94,-8280.188472763442,448.74984655223875,-51.59644500853327
94,-8464.919981455434,-173.33350805527323,97.79820788043685
94,-8248.384339542788,308.59808490566263,81.13819512913705
94,-8178.981360261439,443.3181734949586,-64.31219450422813
94,-8431.249126572076,-146.29293204038083,103.14374313352712
94,-8473.413832807315,-165.46149341923933,93.02259045266302
94,-8446.57907320011,-174.1460560252288,89.93267030407563
94,-7914.328241252793,1002.6122741675795,25.631128899315563
94,-8027.565945500544,867.8440019519228,70.89378412156492
94,-8047.8683126012065,812.8270120249117,71.96179790908536
94,-8127.465395301643,623.3333997217051,0.13601183521605975
94,-8138.695563933695,561.0820431423441,-6.610015752807506
94,-8202.404564365324,741.897689328209,84.98442894234904
94,-8192.785387126502,442.7123002669995,59.41964362345234
94,-8245.986119147377,435.3744360581378,23.48840365264808
94,-8263.694448044942,363.6501492425856,44.352152651529444
94,-8246.592396758853,308.8129533334361,79.24884136308106
94,-8305.768238035356,376.450051877085,-52.58183358436245
94,-8422.080942341505,-42.20434682195628,96.61553801936145
94,-8487.300797715478,-157.45436409416104,129.8882255481078
94,-8451.465642255003,-166.54382406959766,102.85628941869248
94,-8432.764512427651,-155.04518801751294,92.29134948243015
94,-8465.088479886961,-218.68091196755086,78.1540534513764
94,-8362.332875557857,-156.25770175870716,121.32500616754581
94,-8905.573186009562,-616.2607688715043,-161.891644643515
94,-8771.718252979212,-526.0659510584301,-19.88411410228656
94,-8614.641122988176,-443.4750987566653,-32.428921908212175
94,-8864.582662464716,-605.2873188063711,-154.7981055649921
94,-8948.306578558972,-814.4334197236614,-152.50677096210566
