phase,d,l,b
24,1136.4,224.599996029949,-5.999997502799613
24,363.7,205.89999961542992,-11.399999195930445
24,357.4,201.39999559547243,-11.300000691445545
24,340.7,202.7000006524165,-12.700004768571372
24,428.4,117.59999970902012,-2.9999969568373777
24,378.4,112.29999985910328,5.100000906967878
24,337.5,201.09999993733356,-11.70000520490203
24,345.0,204.90000161419414,-13.200003978333761
24,333.8,199.99999937094256,-9.900005028373807
24,925.2,219.499997182721,-13.599995729772619
24,1182.0,225.49999921186807,-6.000001129677849
24,256.4,112.89999819996886,17.799998102457003
24,1032.7,78.09999919132821,2.2000035191363785
24,393.7,195.19999970999226,-6.399994951817115
24,957.8,79.30000211089649,0.599998562685926
24,317.9,206.3999987709227,-19.29999813054912
24,1023.5,77.49999717237638,1.100001796038306
24,744.5,89.0000040291132,-1.1999991450694987
24,455.9,105.90000067659126,7.90000007942711
24,446.3,206.20000342097467,-11.500002308091087
24,165.0,120.50000547684807,27.199999797919947
24,1116.1,224.40000268059535,-7.39999901969236
24,982.4,219.2000025580563,-13.099999080522972
24,995.4,76.9999956532806,0.19999964667030912
24,330.5,204.80000512911155,-5.0999979231461765
24,452.8,103.2000022037344,1.4999996435647516
24,261.6,209.1000040389839,-23.000000308319745
24,1061.3,72.09999617214156,-3.2999982274061175
24,416.9,112.90000244256194,-4.699999182811831
24,396.0,115.30000129313784,-5.200004951254964
24,993.8,80.09999826049007,2.499999644175282
24,979.5,77.40000264470333,0.6999991471331146
24,957.5,78.49999971436587,1.1999983776427654
24,924.0,217.0000012806969,-14.700004707771303
24,418.0,212.49999714615637,-14.699997612987744
24,619.6,90.4999958502048,0.49999794792121455
24,380.1,201.50000164054484,-11.0000037391517
24,372.2,209.50000202554023,-14.1999993285143
24,316.2,206.80000492342904,-15.000000233900751
24,845.3,213.9000007038998,-13.999996817583284
24,770.8,87.79999868678465,-1.6000039971793465
24,949.9,77.40000148422853,0.9999998896216855
24,792.2,85.09999741665553,-0.7000021679688917
24,733.9,88.89999605637925,-1.3999991473302154
24,377.8,111.40000085936128,20.79999935923419
24,383.8,192.6000063820034,-5.699998699189997
24,382.4,195.20000072410804,-11.300002644174967
24,402.9,196.49999853283865,-5.599997096068675
24,394.0,196.90000060625601,-4.799997983909854
24,358.8,203.89999527414386,-11.70000102382698
24,398.9,204.49999563528692,-11.300002586143092
24,412.6,205.30000005293954,-9.599998111551807
24,435.8,213.50000529500846,-15.999999109927602
24,859.7,214.1999976294054,-13.79999794048753
24,844.5,214.50000131274038,-13.300004297090654
24,849.6,216.3999989846491,-17.199999801505164
24,697.1,219.3999975376878,-18.40000115534529
24,679.9,219.80000072223095,-18.600001884584906
24,1172.7,225.7000024171363,-5.000001161706148
24,1185.8,226.09999969914242,-4.999999960554041
24,475.9,109.40000324606899,-1.4999961292579997
24,393.2,206.80000391947837,-12.19999996557026
24,346.4,112.29999744668997,15.699996893122862
24,447.4,97.2999962122287,-2.6999998255589155
24,349.4,205.29999684508672,-11.599995358980065
24,398.3,205.20000457725712,-12.699998390495344
24,379.2,208.20000122553606,-13.600001837899454
24,1024.7,78.29999644037858,2.1999992619759756
24,873.2,83.80000138388205,1.200005177369058
24,816.2,84.79999807342094,0.5999954373415002
24,623.4,90.4999958502048,0.49999794792121455
24,561.7,91.70000391111502,2.0000011366852006
24,748.1,96.2000043928797,4.100002678504887
24,459.9,99.09999931320853,12.800000551331834
24,457.0,105.89999802294491,7.999997872213587
24,396.6,111.29999694827916,10.199997712912024
24,345.7,111.99999821783632,15.599996201103082
24,419.8,115.99999792894451,-3.9000045883407504
24,307.4,188.00000043207143,-9.29999919019222
24,401.2,203.29999923301358,-7.199995814096974
24,377.1,206.80000572566925,-11.600000030136666
24,357.2,206.49999860393348,-13.3999993247024
24,421.3,212.50000357635034,-14.899998059329642
24,290.4,213.00000403287063,-8.999997798891922
24,1016.3,218.2000026213348,-11.300004687502472
24,845.8,218.99999924020025,-8.800000691265337
24,692.1,221.99999800991523,-16.700003481269878
24,980.0,219.19999558265158,-12.200001390523147
24,1166.1,224.599996029949,-5.999997502799613
