phase,d,l,b
0,1131.1,224.5999994980557,-2.400002637524867
0,373.3,205.8999983299903,-17.199999640457108
0,367.3,201.4000037807358,-17.500000514424702
0,351.9,202.69999753390303,-19.19999797145758
0,428.7,117.60000146374898,-3.699999973087492
0,377.9,112.29999935504047,4.199996225616112
0,348.1,201.10000641423238,-18.399999326543565
0,356.3,204.9000040966777,-19.499999105777796
0,343.3,200.0000031523107,-16.699998112168817
0,914.6,219.50000119725067,-10.600001125861443
0,1176.6,225.50000140501294,-2.499998045706067
0,251.0,112.89999757266361,13.499997611287482
0,1033.2,78.10000522939028,2.800000744164775
0,400.0,195.19999771031974,-12.000000125154447
0,957.7,79.30000129819193,0.30000382739212206
0,333.8,206.40000225664576,-26.000000312342202
0,1023.7,77.49999941555023,1.599997222413631
0,744.4,89.00000212428486,-0.9000005498837678
0,456.9,105.89999995823624,8.79999733894271
0,453.9,206.19999839313587,-15.499998896728282
0,153.6,120.49999955353904,17.0999983200848
0,1109.3,224.3999954221434,-3.7000007266414094
0,970.9,219.20000453184994,-9.799996844699336
0,995.4,76.9999955897514,0.4999994946868925
0,336.5,204.80000538670433,-11.899999642310943
0,453.1,103.20000341685731,2.6000022810232224
0,281.1,209.10000505683985,-31.099997352027277
0,1060.7,72.1000022082177,-2.600001529407279
0,417.1,112.8999979878319,-5.1000034922324975
0,396.6,115.29999906657012,-6.199995858965784
0,993.9,80.09999686114833,2.6999995490265385
0,979.6,77.40000190291278,0.7999975084390227
0,957.5,78.49999814464134,0.9999945285838874
0,913.0,217.0000002904848,-11.800003409897394
0,427.5,212.4999973356152,-18.999998053055272
0,620.0,90.50000256444613,2.200003621525744
0,389.4,201.5000003989758,-16.600004992114638
0,383.1,209.49999879982028,-19.600000194969052
0,329.2,206.80000288103966,-21.899999628561645
0,837.9,213.89999643800482,-11.800002199627752
0,770.8,87.7999991692878,-1.6999961226532134
0,949.8,77.40000190291278,0.7999975084390227
0,792.4,85.10000207401303,-1.1999964280008846
0,733.8,88.90000104859136,-0.9000003806999999
0,375.0,111.39999731653783,19.699998501055823
0,390.0,192.60000322786743,-11.699997452074857
0,392.4,195.20000606638942,-17.0999977518937
0,408.5,196.49999664040175,-11.000001098345322
0,399.2,196.899994740427,-10.3999992082463
0,368.7,203.9000057376649,-17.70000008801648
0,407.6,204.50000178780894,-16.300006575053846
0,419.9,205.3000002969221,-14.299994640945885
0,445.4,213.49999751545494,-19.899999322797278
0,851.9,214.19999689480034,-11.49999709270933
0,837.4,214.49999717103154,-10.999996760584214
0,840.4,216.39999882702693,-15.000002047623047
0,694.6,219.39999573584245,-17.799999980238493
0,678.2,219.799998511422,-18.1999954257207
0,1168.6,225.69999619001456,-1.5000003341258552
0,1181.6,226.1000057489362,-1.5999991110122618
0,475.7,109.40000010498193,-0.7000037588073001
0,402.5,206.80000309996063,-17.200003584473894
0,343.7,112.30000058193275,14.000000692658148
0,447.0,97.29999955090312,-1.2999980803615627
0,359.4,205.2999964562173,-17.69999664550759
0,407.9,205.19999703562792,-17.699999256943016
0,389.6,208.19999876748847,-18.90000098002501
0,1025.1,78.30000156666924,2.699997501867765
0,873.0,83.80000349517479,0.30000027296571136
0,816.2,84.80000491988184,-0.09999920996343092
0,623.8,90.50000343039987,2.3000026430564495
0,562.8,91.69999935999736,4.099995661411165
0,748.9,96.20000176649174,4.899999135614103
0,462.3,99.10000210299317,14.09999900915327
0,458.0,105.89999995823624,8.79999733894271
0,395.9,111.30000178036532,9.600001367432515
0,343.0,111.9999988051757,13.899999983743735
0,420.2,116.00000289087677,-4.5999983352675535
0,317.3,188.00000439568706,-16.999999520933816
0,407.4,203.30000345362865,-12.29999908087411
0,386.4,206.80000239664992,-17.10000130233876
0,368.2,206.49999877787124,-19.299996306450325
0,430.8,212.5000007578903,-19.0999989553625
0,299.5,213.0000048017697,-16.699999713661356
0,1005.9,218.2000048686184,-7.9000006218254555
0,840.7,219.00000311463694,-6.0999987871362675
0,689.3,222.00000172725026,-16.000000960146348
0,969.3,219.20000144542385,-8.900003589906373
0,1160.9,224.5999994980557,-2.400002637524867
