phase,d,l,b,x,y,z
200,1140.0,3.9200094564159103,0.13264509195402505,-793.4228779168504,-105.8652700575118,-811.7097273002171
200,367.0,3.5936328789067176,0.23911011841866378,-155.74538551295345,-37.96663426534671,-330.13771304409147
200,357.4,3.515093102541941,0.1972221242321103,-127.87897771686224,-25.55273042292368,-332.75935002043684
200,337.3,3.537782489836819,0.17104229263720083,-128.2667398883915,-22.15551647840474,-311.17208507187604
200,455.0,2.052507251049983,-0.3473205841041865,379.1454314765818,-137.24875717346484,-210.7997164247996
200,389.9,1.960004730526714,-0.2583086488942511,348.77117284219486,-92.1492887316902,-147.94994957932022
200,335.4,3.5098570817840247,0.17278755061375578,-118.94497324718081,-20.759215466215377,-312.91262089032887
200,341.7,3.5761796529158643,0.18500495178669307,-141.41288470145992,-26.464709510629255,-309.93693744200544
200,335.1,3.4906584586580247,0.19198620452258874,-112.50521034531675,-21.86879602572162,-314.89100242074466
200,917.3,3.8309976151908165,0.19896752930063538,-571.9632200643327,-115.32801191453102,-707.8112845677733
200,1181.0,3.9357174694369896,0.09773841806648036,-838.3285933931768,-82.19882030052322,-827.7738359241733
200,249.4,1.970476708579626,-0.207694106985866,224.8062212675905,-47.374083869440994,-97.04750927725196
200,1032.1,1.3631021571782478,0.01570790168009589,1009.7945357041732,15.863057979393524,212.8233282643979
200,403.8,3.4068827709085636,0.24958205448302714,-102.5916517122896,-26.150280993752276,-389.67365294935206
200,959.3,1.384046077008853,-0.055850537625922514,941.1506845396246,-52.618493748962926,178.11000282461993
200,300.5,3.602359660464161,0.055850511633147804,-133.40456022032447,-7.45846957310303,-269.1613726819822
200,1023.4,1.3526301606221725,-0.012217309842711629,999.0667652250092,-12.206515556012627,221.50431056938118
200,747.2,1.553343011150875,0.08901175435921987,744.1285346207511,66.41167432786997,13.040455365617968
200,453.8,1.8483036259988512,-0.10122912461073781,434.20395719731636,-44.10484188231602,-124.32267080756823
200,455.7,3.5988688789527767,0.284488732629288,-193.10725548684007,-56.468526801529116,-408.8806468386652
200,149.7,2.103121695874759,-0.19896750855859904,126.44114990847628,-25.49500452222513,-75.97848612754758
200,1116.1,3.916518760223168,0.12740905055264404,-774.5646053661767,-99.22402629495339,-797.4230211874732
200,969.4,3.8257616937130283,0.162315691431005,-604.6358185321434,-99.01295652896493,-751.2312036832324
200,996.5,1.3439034660586504,-0.047123956180000925,969.8818667895238,-45.73853229056977,224.1637819469795
200,346.5,3.5744342511873484,0.31590467281070217,-138.14807520751083,-45.153763060696875,-314.54490458107625
200,461.5,1.801179813658046,-0.19547685631985495,440.7496871562382,-87.27077902143623,-105.38393805827226
200,241.4,3.649483428981624,-0.07155850908453668,-117.1008974143386,8.39389784582047,-210.9286189773936
200,1060.3,1.2583824654554714,-0.036651910677178094,1008.2979366624944,-36.9726032637065,325.890146414495
200,446.7,1.9704767728536827,-0.376991049562746,382.597002390177,-151.4808388492233,-173.82168801270595
200,429.3,2.0123645947873414,-0.40666170928726586,356.4698394186079,-153.5201642153102,-183.4647180364009
200,992.9,1.3980087174914602,-0.013962713833129609,978.019703835773,-13.656696750617812,170.7084167311282
200,980.6,1.350884796654513,-0.048869216980488454,955.8414599354661,-46.74844451512374,213.91130499310503
200,958.3,1.370083444530465,-0.04537862727021945,938.095139475127,-42.59871373158528,191.0543087228244
200,909.6,3.7873644695663318,0.18675028118894585,-537.8929891935308,-101.63596396862995,-726.4388639139673
200,418.5,3.7088246195584422,0.26179945978999075,-217.19795312986219,-58.19803289773631,-352.95932927609687
200,620.9,1.579522928978852,0.0680678062345408,619.4385832068843,42.22906454648498,-5.418278525183875
200,382.4,3.5168384070082093,0.219911539856913,-136.7747875499666,-30.572794980083135,-355.79168300814354
200,370.0,3.6564648165092426,0.2234020736914442,-177.6690245652856,-40.36539883419964,-322.0316013793925
200,308.5,3.60934094033959,0.14311701623078021,-137.6736512862736,-19.839078685315393,-275.36271842503186
200,846.2,3.733259243939594,0.24958219055593275,-457.34042434559194,-116.5746647615977,-702.3564079547614
200,772.4,1.5323990630079112,0.07155846919432043,769.8553954579119,55.18389759261988,29.65075936345383
200,950.8,1.3508847966545132,-0.048869216980488496,926.7938610102399,-45.327779976524255,207.4106351085499
200,794.0,1.4852751715805521,0.0680678934702259,789.2661980992647,53.806813097197825,67.82105426971458
200,736.6,1.551597768509108,0.08726644312285572,733.661786863905,64.18707481396085,14.140789316332025
200,353.1,1.9442967915801632,-0.0017453364046300136,328.7553072273952,-0.5737891885447981,-128.83799414686706
200,392.0,3.361504150837039,0.2268928585928317,-83.32048295794034,-19.236054084244408,-382.55936969694466
200,379.6,3.406882756040874,0.15533432398639455,-98.32871362938985,-15.397867710194848,-366.3202557134519
200,417.2,3.4295719591353975,0.2792526199223308,-113.90104749084246,-32.66059235620724,-400.01959587929
200,410.1,3.4365532206086224,0.2932153261614153,-114.12870025990514,-34.4574876141137,-392.389259950254
200,359.6,3.558726312028409,0.2164207734029685,-142.29031531269024,-31.284546766258945,-328.76572707909344
200,404.2,3.5691983435315606,0.254818024653454,-162.2064620564143,-42.2516106151224,-367.8063417990086
200,425.6,3.5831609091474936,0.29845123978886273,-173.84297188038983,-53.48106950761718,-384.7775413561912
200,432.4,3.7262779838327287,0.2513273282938177,-231.15970232875506,-59.35170313776807,-360.5722221052637
200,860.5,3.7384952454828753,0.24434600997859607,-469.30560047747673,-117.01098556954507,-711.7028401071044
200,851.0,3.7437312150428355,0.2617994972094458,-465.5875226658494,-124.7538553017242,-701.3314012114627
