phase,d,l,b
91,1142.6,224.60000306729063,-8.499998774202648
91,364.6,205.90000206555297,12.099995070988713
91,358.0,201.39999902536593,11.900000199880106
91,339.0,202.69999979640986,11.4000021611625
91,432.5,117.5999986822164,-8.50000122407058
91,377.0,112.30000213771773,-0.8999964158512098
91,338.1,201.10000022314185,12.20000086029434
91,342.2,204.90000542313135,11.000002279470772
91,338.9,200.00000075224852,14.00000113241065
91,914.8,219.50000119725067,-10.600001125861443
91,1190.3,225.49999933590217,-9.000002843652211
91,254.0,112.90000234539791,16.10000351934519
91,1032.0,78.10000162627934,0.4000054004744941
91,404.1,195.2000006710863,14.50000308411535
91,957.8,79.29999936133441,-0.3999989981638449
91,302.0,206.39999527188468,6.500001567892074
91,1023.4,77.49999529028126,-0.8000006852277439
91,744.4,88.9999982331068,0.6999999004847577
91,451.6,105.89999726198421,0.5999984771047364
91,442.7,206.20000173842436,9.000002564654624
91,177.4,120.50000001125258,34.20000030907542
91,1122.2,224.4000024559251,-9.500002719681623
91,977.3,219.19999722229602,-11.699998314872179
91,995.8,77.00000356205088,-1.599997673577107
91,348.3,204.7999985484034,19.099998444101583
91,455.1,103.20000187871196,-6.000001004757221
91,242.1,209.09999977002704,6.100005250895878
91,1062.4,72.10000038289056,-4.200003360770574
91,423.2,112.89999945648334,-10.900001875185078
91,401.4,115.30000073957102,-10.799995205362814
91,992.9,80.0999980402358,0.8999986703926844
91,979.6,77.39999863263756,-0.8999982327587006
91,957.3,78.49999693791827,0.09999895453424117
91,911.5,216.99999789445422,-11.299997286323757
91,407.6,212.4999994217059,7.299997244467746
91,619.9,90.50000030377254,-1.9999999584747319
91,380.6,201.4999961776245,11.399997359014213
91,365.7,209.50000204141037,9.399996062711867
91,310.9,206.8000045864671,10.800003168173419
91,827.7,213.90000440857315,-7.800002424255033
91,770.5,87.79999976224514,0.7999969717518727
91,949.7,77.39999719414575,0.10000043272199313
91,792.7,85.09999696728875,2.1000009905288115
91,733.8,88.89999726333335,0.2999972241028917
91,366.4,111.40000008530033,15.499999501448766
91,395.4,192.59999541951723,15.000001517128615
91,380.9,195.1999986194089,10.200003856905761
91,415.3,196.4999997930127,15.100003956151346
91,408.7,196.89999798038397,16.099999099877767
91,358.8,203.89999893169832,11.800002531162963
91,398.2,204.5000013490282,10.800004221736586
91,415.9,205.30000017590328,11.999994802911656
91,420.7,213.50000204365637,5.299997317341143
91,843.2,214.20000216065682,-8.100003972122481
91,828.4,214.49999797128203,-7.100002554424535
91,827.2,216.39999559745547,-11.099999045940269
91,666.7,219.40000233677097,-7.100002418602339
91,648.9,219.79999911089422,-6.699998740667853
91,1179.6,225.70000078330236,-7.999996960100968
91,1193.1,226.0999982168573,-8.099998258751507
91,480.8,109.40000011424607,-8.400005319766109
91,390.7,206.80000609233528,10.300001965192235
91,339.5,112.30000285203494,10.700002175750319
91,454.4,97.30000133347002,-10.399998293293343
91,350.6,205.2999980336891,12.500005811543987
91,394.0,205.19999982741635,9.500000070150158
91,373.7,208.20000042204745,9.600005265527761
91,1023.9,78.30000188176787,0.4000014755281349
91,874.4,83.79999724992226,3.299999821097147
91,817.7,84.80000343084595,3.4999983252307687
91,623.7,90.49999571569589,-1.9000007559324466
91,562.0,91.70000323984168,-2.6999970082738565
91,748.8,96.19999669473597,4.800000090936033
91,450.3,99.10000299441903,5.300000325353921
91,452.7,105.89999885478332,0.6999983863476426
91,391.2,111.30000114388602,3.8999999016240743
91,338.6,111.99999803237425,10.499999549446011
91,424.8,115.99999842392273,-9.60000478094774
91,311.6,187.99999629389032,13.200000072108105
91,410.9,203.30000190957938,14.399997727233709
91,376.9,206.79999929021383,11.399997795751043
91,353.5,206.5000032270873,10.50000350085424
91,410.0,212.49999913860134,6.900002709332988
91,302.2,213.00000116573085,18.299994892231595
91,1014.8,218.2000027591787,-10.89999834697298
91,837.5,219.0000042507167,-3.49999804442295
91,665.9,222.00000659369485,-5.599997875863064
91,975.3,219.19999743561775,-10.900003011956832
91,1173.7,224.59999696357065,-8.79999723870637
