phase,d,l,b,x,y,z
273,1149.0,3.920009499979267,0.18151424220741466,-793.5197500200766,-145.63812723706369,-818.1179268436525
273,363.8,3.5936329298563248,-0.2007128639793481,-155.71835572095299,31.681257533905487,-327.2591199838946
273,360.6,3.5150931135165795,-0.23736477827122973,-127.88534918399857,30.938722051696157,-335.73872720002777
273,345.8,3.5377823937925057,-0.27925268031909267,-128.27682572491804,36.782787876406985,-319.01367133397
273,442.1,2.0525072003453313,-0.2548180707911711,379.13935882996253,-98.75840570713527,-204.82317712649078
273,381.4,1.9600047499896354,-0.15358897417550132,348.72107685311903,-53.98487492754748,-144.72457924436367
273,343.5,3.5098571257605973,-0.2775073510670977,-118.92787587533321,33.877496611670324,-320.46953921255545
273,348.4,3.5761796373363812,-0.2687807048071272,-141.42207253165205,38.954128754796855,-316.0141345791464
273,339.9,3.490658503988659,-0.2565634000431668,-112.44743634361507,29.50003268329593,-319.40152180513024
273,908.9,3.8309977081275575,0.14660765716753024,-571.9294922348164,-84.45519961079705,-701.3295838410963
273,1190.1,3.935717463247212,0.15707963267948702,-838.3887384543127,-132.78773111447808,-834.1521154432534
273,248.1,1.9704767255016014,-0.17976891295541617,224.86308740308547,-40.864548779009745,-96.54165202978592
273,1033.2,1.363102145807574,0.048869219055837354,1009.7884936515396,49.38689662884051,213.05016435179508
273,395.2,3.4068826998929316,-0.14137166941154067,-102.5834431103633,14.599785972778555,-381.3745186154575
273,958.4,1.3840460968315016,-0.03839724354387001,941.0419659794638,-36.151185779133534,177.94288418553884
273,328.4,3.602359576116297,-0.41887902047863845,-133.39425680611947,59.390949585497715,-294.15174206262304
273,1023.6,1.3526301702956063,0.022689280275927266,999.0793729654682,22.672282634337023,221.54758882704127
273,745.4,1.553343034274949,0.05410520681182958,744.1958721596678,40.304207737729556,13.009023758354338
273,451.8,1.8483036778619937,0.034906585039889346,434.25002902487853,15.164345165363741,-123.7747750052404
273,439.3,3.598868917612307,-0.09424777960769469,-193.0927485392749,18.252638735864316,-394.1656017979326
273,157.6,2.1031217486531673,-0.37350045992678466,126.43063493306289,-49.54762403089983,-79.98804600260699
273,1123.4,3.916518841475273,0.1710422666954395,-774.5323787226305,-133.78497216547305,-802.6386082994934
273,966.3,3.8257617203715735,0.13962634015955133,-604.7863336131944,-84.99717614260038,-748.8288594348468
273,995.5,1.3439035240356347,-0.0139626340159544,969.8908492059259,-13.543111074068708,223.93877459931667
273,332.5,3.574434308084387,-0.13962634015954636,-138.11052620152392,19.410168633548675,-301.8360116121921
273,453.4,1.801179788058146,-0.0575958653158094,440.6887181339069,-25.40995161103559,-103.53428450817034
273,286.8,3.649483465920143,-0.574213323906134,-117.1110074986101,75.76250844958317,-250.59787356657145
273,1059.8,1.2583823906879088,-0.01919862177193259,1008.3138949523195,-19.360615845966727,325.7365435442383
273,431.3,1.9704767255016027,-0.2722713633111149,382.6714855697623,-106.84379854602102,-167.82915969547278
273,414.9,2.0123646275494624,-0.31590459461097165,356.5421102806175,-116.5359248134619,-177.3107775193463
